Groep,Code,Beschrijving,Level,Toelichting,Prompt_Template
4,4T3,Romeinse tijd,E,"Romeinen in Nederland","Genereer 10 oefeningen voor Groep 4 (eind schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Tijdvak 2: Romeinse tijd (3000 v.Chr.-450 n.Chr.). Leerdoel (4T3): Kennis van de Romeinen in Nederland en hun invloed. Niveau: E (eind groep 4). Context: Romeinse overheersing en erfgoed. Vraagtypen: Wat brachten de Romeinen naar Nederland (wegen, steden, bad)?, Wat was de Limes?, Hoe zagen Romeinse soldaten eruit?, Welke steden werden door Romeinen gesticht?, Waarom bouwden Romeinen goede wegen?. Format: Multiple choice met 4 opties, historische vragen met visuele ondersteuning (kaarten, afbeeldingen soldaten). Werkvorm: Zelfstandig werken."
4,4T4,Middeleeuwen basis,E,"Ridders, kastelen, monniken","Genereer 10 oefeningen voor Groep 4 (eind schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Tijdvak 3: Middeleeuwen (450-1500). Leerdoel (4T4): Kennis van ridders, kastelen en monniken in de Middeleeuwen. Niveau: E (eind groep 4). Context: middeleeuwse samenleving in Nederland. Vraagtypen: Wie woonden in kastelen?, Wat deden ridders?, Wat was de rol van monniken?, Hoe was de samenleving in de Middeleeuwen ingedeeld?, Waarom bouwden mensen kastelen?. Format: Multiple choice met 4 opties, middeleeuwse afbeeldingen (kasteel, ridder, monnik). Werkvorm: Zelfstandig werken."
5,5T1,Tien tijdvakken,M,"Alle tien tijdvakken van de Nederlandse geschiedenis","Genereer 10 oefeningen voor Groep 5 (midden schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Tien tijdvakken volledige overzicht. Leerdoel (5T1): Alle tien tijdvakken van de Nederlandse geschiedenis kennen, benoemen en chronologisch ordenen. Niveau: M (midden groep 5). Beheersing van complete canon. Context: Nederlandse geschiedenis van prehistorie tot nu. Vraagtypen: Zet de tijdvakken in de juiste volgorde, Welk tijdvak hoort bij deze gebeurtenis (VOC = Gouden Eeuw)?, Vul de ontbrekende tijdvakken in op de tijdlijn, Welk tijdvak komt na de Middeleeuwen?, Noem alle tien tijdvakken in chronologische volgorde. Format: Tijdlijnoefeningen, chronologisch ordenen, 4 antwoordopties per vraag, CITO-stijl. Werkvorm: Zelfstandig werken."
5,5T2,Ontdekkers en hervormers,M,"Grote ontdekkingsreizigers en de Reformatie","Genereer 10 oefeningen voor Groep 5 (midden schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Tijdvak 4: Ontdekkers en Hervormers (1500-1600). Leerdoel (5T2): Kennis van grote ontdekkingsreizigers en de Reformatie. Niveau: M (midden groep 5). Context: ontdekkingsreizen en religieuze hervorming. Vraagtypen: Welke landen werden ontdekt door Columbus?, Wie waren belangrijke ontdekkingsreizigers?, Wat is de Reformatie?, Wie was Maarten Luther en wat deed hij?, Wat betekende de boekdrukkunst voor verspreiding van kennis?. Format: Multiple choice met 4 opties, gebruik kaarten en historische portretten. Werkvorm: Zelfstandig werken."
5,5T3,Gouden Eeuw,E,"Nederlandse Gouden Eeuw: handel, kunst, wetenschap","Genereer 10 oefeningen voor Groep 5 (eind schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Tijdvak 5: Gouden Eeuw (1600-1700). Leerdoel (5T3): Kennis van Nederlandse Gouden Eeuw: handel, kunst, en wetenschap. Niveau: E (eind groep 5). Context: bloeiperiode van Nederland. Vraagtypen: Wat was de VOC en wat deed die?, Noem beroemde schilders uit de Gouden Eeuw (Rembrandt, Vermeer), Waarmee handelde Nederland in Azië?, Waarom bloeiden steden als Amsterdam?, Welke wetenschappelijke uitvindingen werden gedaan (microscoop van Leeuwenhoek)?. Format: Multiple choice met 4 opties, vragen over handel, kunst en bloei. Werkvorm: Zelfstandig werken."
5,5T4,Bronnen gebruiken,E,"Historische bronnen lezen en interpreteren","Genereer 10 oefeningen voor Groep 5 (eind schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Werken met historische bronnen. Leerdoel (5T4): Historische bronnen lezen, interpreteren en analyseren. Niveau: E (eind groep 5). Introductie bronnenonderzoek. Context: gebruik van primaire en secundaire bronnen. Vraagtypen: Wat vertelt deze oude foto/brief/voorwerp over het verleden?, Uit welke tijd komt deze bron?, Is dit een primaire of secundaire bron?, Wat kun je afleiden uit deze historische afbeelding?, Welke informatie geeft deze bron over het leven vroeger?. Format: Bronanalyse met concrete voorbeelden (foto's, brieven, voorwerpen), 4 antwoordopties. Werkvorm: Zelfstandig werken met bronmateriaal."
6,6T1,Pruiken en revoluties,M,"18e eeuw: verlichting en Franse tijd","Genereer 10 oefeningen voor Groep 6 (midden schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Tijdvak 6: Pruiken en Revoluties (1700-1800). Leerdoel (6T1): Kennis van 18e eeuw: Verlichting en Franse tijd in Nederland. Niveau: M (midden groep 6). Context: revolutionaire tijd en Franse overheersing. Vraagtypen: Wat was de Franse overheersing van Nederland?, Wat was de Bataafse Republiek?, Welke ideeën kwamen uit de Verlichting?, Wie was Napoleon en wat deed hij in Nederland?, Hoe veranderde Nederland door de Franse tijd?. Format: Multiple choice met 4 opties, historische vragen over 18e eeuw. Werkvorm: Zelfstandig werken."
6,6T2,Industrialisatie,M,"Tijd van stoommachines en fabrieken","Genereer 10 oefeningen voor Groep 6 (midden schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Tijdvak 7: Industrialisatie (1800-1900). Leerdoel (6T2): Kennis van tijd van stoommachines, fabrieken en sociale veranderingen. Niveau: M (midden groep 6). Context: industriële revolutie in Nederland. Vraagtypen: Wat is een stoommachine en wat kon die?, Hoe veranderde fabrieksarbeid het leven?, Waarom was er kinderarbeid?, Welke sociale veranderingen kwamen door industrialisatie?, Hoe veranderden spoorwegen het reizen?. Format: Multiple choice met 4 opties, vragen over industriële revolutie. Werkvorm: Zelfstandig werken."
6,6T3,Eerste Wereldoorlog,E,"Eerste Wereldoorlog en neutraliteit Nederland","Genereer 10 oefeningen voor Groep 6 (eind schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Tijdvak 8: Wereldoorlogen - WO1 (1900-1950). Leerdoel (6T3): Kennis van Eerste Wereldoorlog en neutraliteit van Nederland. Niveau: E (eind groep 6). Leeftijdsadequaat en respectvol. Context: Nederland tijdens WO1. Vraagtypen: Wanneer was de Eerste Wereldoorlog (1914-1918)?, Wat betekent neutraliteit?, Hoe was de loopgravenoorlog?, Waarom kwamen er vluchtelingen naar Nederland?, Hoe beïnvloedde de oorlog het dagelijks leven in Nederland?. Format: Multiple choice met 4 opties, vragen over WO1 en Nederlandse positie. Werkvorm: Zelfstandig werken."
6,6T4,Chronologie,E,"Gebeurtenissen op tijdlijn plaatsen","Genereer 10 oefeningen voor Groep 6 (eind schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Chronologisch denken en tijdlijnen. Leerdoel (6T4): Historische gebeurtenissen chronologisch ordenen en op tijdlijn plaatsen. Niveau: E (eind groep 6). Ontwikkeling tijdsbesef. Context: belangrijke gebeurtenissen Nederlandse geschiedenis. Vraagtypen: Orden deze gebeurtenissen chronologisch, Plaats deze gebeurtenis op de juiste plek op de tijdlijn, Wat gebeurde eerst - VOC of Tweede Wereldoorlog?, In welke volgorde kwamen deze tijdvakken?, Hoeveel jaar zit er tussen deze twee gebeurtenissen?. Format: Tijdlijnopdrachten, chronologisch ordenen, 4 antwoordopties, CITO-stijl. Werkvorm: Zelfstandig werken."
7,7T1,Tweede Wereldoorlog,M,"Tweede Wereldoorlog en de Holocaust","Genereer 10 oefeningen voor Groep 7 (midden schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Tijdvak 8: Wereldoorlogen - WO2 (1940-1945). Leerdoel (7T1): Kennis van Tweede Wereldoorlog en de Holocaust, leeftijdsadequaat en respectvol. Niveau: M (midden groep 7). Gevoelige thematiek met respect behandelen. Context: bezetting van Nederland. Vraagtypen: Wanneer was Nederland bezet (1940-1945)?, Wat was de Jodenvervolging?, Wie was Anne Frank en waarom is haar verhaal belangrijk?, Hoe was het leven tijdens de oorlog?, Wat waren de gevolgen van de bezetting?. Format: Multiple choice met 4 opties, gevoelige onderwerpen met historische context en respect. Werkvorm: Zelfstandig werken, mogelijkheid voor klassengesprek."
7,7T2,Verzet en bevrijding,M,"Nederlands verzet en bevrijding 1945","Genereer 10 oefeningen voor Groep 7 (midden schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - WO2: verzet en bevrijding. Leerdoel (7T2): Kennis van Nederlands verzet en bevrijding in 1945. Niveau: M (midden groep 7). Context: heldenmoed en bevrijding. Vraagtypen: Welke vormen van verzet waren er in Nederland?, Wat deden onderduikers?, Wanneer werd Nederland bevrijd (5 mei 1945)?, Wat was de Hongerwinter?, Wat gebeurde op Dolle Dinsdag?. Format: Multiple choice met 4 opties, vragen over verzet en bevrijding. Werkvorm: Zelfstandig werken."
7,7T3,Naoorlogse tijd,E,"Wederopbouw en dekolonisatie","Genereer 10 oefeningen voor Groep 7 (eind schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Tijdvak 9: Naoorlogse periode wederopbouw. Leerdoel (7T3): Kennis van wederopbouw en dekolonisatie na de Tweede Wereldoorlog. Niveau: E (eind groep 7). Context: herstel na oorlog en verlies koloniën. Vraagtypen: Hoe werd Nederland herbouwd na de oorlog?, Wat was de Marshallhulp?, Wanneer werd Indonesië onafhankelijk (1945-1949)?, Waarom verloor Nederland zijn koloniën?, Hoe veranderde de wereld na WO2?. Format: Multiple choice met 4 opties, vragen over naoorlogse ontwikkelingen. Werkvorm: Zelfstandig werken."
7,7T4,Koude Oorlog,E,"Koude Oorlog en Muur van Berlijn","Genereer 10 oefeningen voor Groep 7 (eind schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Tijdvak 9: Koude Oorlog periode. Leerdoel (7T4): Kennis van Koude Oorlog, Berlijnse Muur en Oost-West spanning. Niveau: E (eind groep 7). Context: spanning tussen supermachten. Vraagtypen: Wat was de Koude Oorlog?, Waarom werd de Berlijnse Muur gebouwd?, Wat was het verschil tussen Oost en West?, Wanneer viel de Muur (1989)?, Wat was de ruimtevaartwedloop?. Format: Multiple choice met 4 opties, vragen over Koude Oorlog. Werkvorm: Zelfstandig werken."
8,8T1,Nederland na 1950,M,"Moderne geschiedenis: welvaart, migratie, Europa","Genereer 10 oefeningen voor Groep 8 (midden schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Tijdvak 10: Moderne tijd na 1950. Leerdoel (8T1): Kennis van moderne geschiedenis: welvaart, migratie, en Europese samenwerking. Niveau: M (midden groep 8). Context: Nederland in de moderne wereld. Vraagtypen: Wat was de welvaart in de jaren '60?, Waarom kwamen gastarbeiders naar Nederland?, Wat is de Europese Unie en waarom bestaat die?, Welke maatschappelijke veranderingen kwamen na 1950?, Hoe is de multiculturele samenleving ontstaan?. Format: Multiple choice met 4 opties, vragen over recente geschiedenis, CITO-stijl. Werkvorm: Zelfstandig werken."
8,8T2,Karakteristieke aspecten,M,"Alle karakteristieken van tijdvakken beheersen","Genereer 10 oefeningen voor Groep 8 (midden schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Karakteristieken alle tien tijdvakken. Leerdoel (8T2): Alle karakteristieke aspecten van de tien tijdvakken beheersen en herkennen. Niveau: M (midden groep 8). Kennis canon Nederlandse geschiedenis. Context: onderscheidende kenmerken tijdvakken. Vraagtypen: Welk kenmerk hoort bij de Gouden Eeuw?, Match deze gebeurtenis met het juiste tijdvak, Welke persoon leefde in de Middeleeuwen?, Wat is typisch voor het tijdvak Industrialisatie?, In welk tijdvak hoort de VOC?. Format: Multiple choice met 4 opties, kenmerken koppelen aan tijdvakken, CITO-stijl. Werkvorm: Zelfstandig werken."
8,8T3,Historisch denken,E,"Oorzaak en gevolg, continuïteit en verandering","Genereer 10 oefeningen voor Groep 8 (eind schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Historisch redeneren en analyseren. Leerdoel (8T3): Oorzaak-gevolgrelaties begrijpen, continuïteit en verandering herkennen. Niveau: E (eind groep 8). Hoger-orde denkvaardigheid. Context: complexe historische verbanden. Vraagtypen: Wat was de oorzaak van de Tweede Wereldoorlog?, Wat was het gevolg van de uitvinding van de stoommachine?, Wat bleef hetzelfde en wat veranderde tijdens de industrialisatie?, Welke gebeurtenis leidde tot welk gevolg?, Waarom had deze beslissing deze consequentie?. Format: Multiple choice met 4 opties, oorzaak-gevolg vragen, analyseopdrachten, CITO-stijl. Werkvorm: Zelfstandig werken, voorbereiding CITO eindtoets."
8,8T4,Historisch perspectief,E,"Verschillende perspectieven op historische gebeurtenissen","Genereer 10 oefeningen voor Groep 8 (eind schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Perspectiefname en multiperspectiviteit. Leerdoel (8T4): Verschillende perspectieven op historische gebeurtenissen begrijpen en respecteren. Niveau: E (eind groep 8). Empathisch en kritisch denken. Context: gebeurtenissen vanuit meerdere gezichtspunten bekijken. Vraagtypen: Hoe zag een Romeinse soldaat Nederland?, Vanuit welk perspectief is dit geschreven?, Hoe ervoeren arbeiders de Industrialisatie anders dan fabrikanten?, Waarom hadden mensen in de Middeleeuwen andere opvattingen?, Hoe kunnen twee mensen dezelfde gebeurtenis anders ervaren?. Format: Multiple choice met 4 opties, perspectiefvragen, meerdere gezichtspunten, CITO-stijl. Werkvorm: Zelfstandig werken."
8,8T5,Geschiedenis en heden,E,"Verbanden tussen geschiedenis en hedendaagse samenleving","Genereer 10 oefeningen voor Groep 8 (eind schooljaar). Kerndoel: O11-O13 (Kerndoelen 49-51: Tijdsbesef, Historische kennis, Historisch besef). Inhoudslijn: Oriëntatie - Tijd (Geschiedenis) - Geschiedenis en actualiteit verbinden. Leerdoel (8T5): Verbanden leggen tussen historische gebeurtenissen en hedendaagse samenleving. Niveau: E (eind groep 8). Relevantie geschiedenis voor nu. Context: historische wortels van moderne fenomenen. Vraagtypen: Welke historische gebeurtenis beïnvloedt onze democratie vandaag?, Wat kunnen we leren van de Tweede Wereldoorlog voor nu?, Hoe is onze multiculturele samenleving ontstaan (migratie)?, Waarom is kennis van geschiedenis belangrijk voor het heden?, Welke historische ontwikkeling leidde tot moderne technologie?. Format: Multiple choice met 4 opties, verband verleden-heden vragen, CITO-stijl. Werkvorm: Zelfstandig werken, voorbereiding CITO eindtoets."
