"Groep","Code","Beschrijving","Level","Toelichting","Prompt_Template","Item_Count","Option_Count","Strategy_Tags","Context","Difficulty_Mix","Text_Length","Feedback_Type"
"3","3MM4","Lengte: meter en centimeter","E","Meter en centimeter gebruiken en omrekenen","Genereer 10 oefeningen voor Groep 3 (eind schooljaar). Kerndoel: K32 (Meten). Inhoudslijn: Meten & Meetkunde > Meten > Lengte (m/cm). Leerdoel (3MM4): Meter en centimeter gebruiken en eenvoudige omrekeningen maken. Niveau: E (eind groep 3). Context: lokaal, gang, speelplein. Vraagtypen: Hoeveel cm is 1 m?, 150 cm = ? m en ? cm, 2 m 30 cm = ? cm, Welke eenheid past bij potlood/deur/gang?. Format: 4 antwoordopties (1 correct), eenvoudige getallen. Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","omrekenen;m-cm;eenheid-kiezen","school/omgeving","60% basis;30% verdieping;10% uitdaging","kort","strategiehint"
"3","3MM5","Vlakke figuren","E","Vierkant, rechthoek, driehoek, cirkel benoemen en tekenen","Genereer 10 oefeningen voor Groep 3 (eind schooljaar). Kerndoel: K33 (Meetkunde). Inhoudslijn: Meten & Meetkunde > Meetkunde > Vlakke figuren (eigenschappen). Leerdoel (3MM5): Basisfiguren herkennen, benoemen en eenvoudige eigenschappen gebruiken; tekenen op roosterpapier (eenvoudig). Niveau: E (eind groep 3). Context: roosterpapier en klasvoorwerpen. Vraagtypen: Welke figuur is dit?, Hoeveel hoeken heeft een rechthoek?, Welke figuur heeft geen hoeken?, Kies de juiste tekening op rooster. Format: 4 antwoordopties (1 correct). Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","herkennen;eigenschappen;rooster","klas/roosterpapier","60% basis;30% verdieping;10% uitdaging","kort","strategiehint"
"3","3MM6","Tijd: kwartieren","E","Klok lezen op kwart over/half/kwart voor","Genereer 10 oefeningen voor Groep 3 (eind schooljaar). Kerndoel: K32 (Meten). Inhoudslijn: Meten & Meetkunde > Meten > Tijd (kwartieren). Leerdoel (3MM6): Klok lezen op kwart over/half/kwart voor; koppeling analoog-digitaal (7:15, 7:30, 7:45). Niveau: E (eind groep 3). Context: schoolrooster, tv-programma’s. Vraagtypen: Hoe laat is het (kwart over 3)?, Zet de wijzers op kwart voor 8, 7:15 hoort bij kwart over 7, Welke klok toont half 4?. Format: 4 antwoordopties (1 correct), analoog en digitaal. Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","kloklezen;kwartieren;koppelen-analoog-digitaal","dagritme/rooster","60% basis;30% verdieping;10% uitdaging","kort","strategiehint"
"4","4MM1","Lengte: mm naar cm","M","Omrekenen mm en cm met kleine lengtes","Genereer 10 oefeningen voor Groep 4 (midden schooljaar). Kerndoel: K32 (Meten). Inhoudslijn: Meten & Meetkunde > Meten > Lengte (mm/cm). Leerdoel (4MM1): Eenvoudig omrekenen tussen mm en cm met getallen t/m 150 mm (veelvouden van 5/10). Niveau: M (midden groep 4). Context: liniaal, potlood, gum. Vraagtypen: 30 mm = ? cm, 12 cm = ? mm, 85 mm = ? cm, Kies de juiste maat bij een voorwerp. Format: 4 antwoordopties (1 correct). Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","omrekenen;mm-cm;plaatswaarde","schoolspullen/liniaal","70% basis;25% verdieping;5% uitdaging","kort","strategiehint"
"4","4MM2","Gewicht: gram en kilogram","M","Wegen en omrekenen g en kg met kleine waarden","Genereer 10 oefeningen voor Groep 4 (midden schooljaar). Kerndoel: K32 (Meten). Inhoudslijn: Meten & Meetkunde > Meten > Gewicht. Leerdoel (4MM2): Wegen met gram en kilogram; omrekenen t/m 5000 g. Niveau: M (midden groep 4). Context: supermarkt/keuken (appel 150 g, pak suiker 500 g, fles melk 1 kg). Vraagtypen: 1 kg = ? g, 1500 g = ? kg, 3×250 g = ? g, Welke schatting past?. Format: 4 antwoordopties (1 correct). Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","omrekenen;g-kg;schatten","supermarkt/keuken","70% basis;25% verdieping;5% uitdaging","kort","strategiehint"
"4","4MM3","Inhoud: liter en milliliter","M","Inhoud meten/schatten in l en ml (kleine volumes)","Genereer 10 oefeningen voor Groep 4 (midden schooljaar). Kerndoel: K32 (Meten). Inhoudslijn: Meten & Meetkunde > Meten > Inhoud. Leerdoel (4MM3): Inhoud meten/schatten in liter en milliliter t/m 2000 ml. Niveau: M (midden groep 4). Context: keuken (pak melk 1 l, glas sap 200 ml), emmer, beker. Vraagtypen: 1 l = ? ml, 750 ml = ? l (eventueel als 0,75 l als uitdaging), 1 l 250 ml = ? ml, Welke schatting past bij glas/beker?. Format: 4 antwoordopties (1 correct). Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","omrekenen;l-ml;schatten","keuken","70% basis;25% verdieping;5% uitdaging","kort","strategiehint"
"4","4MM4","Tijd: minuten","M","Klok per 5 minuten en eenvoudige tijdsduur","Genereer 10 oefeningen voor Groep 4 (midden schooljaar). Kerndoel: K32 (Meten). Inhoudslijn: Meten & Meetkunde > Meten > Tijd (minuten). Leerdoel (4MM4): Analoge klok aflezen per 5 minuten en simpele duur binnen een uur. Niveau: M (midden groep 4). Context: pauze, lestijd, sport. Vraagtypen: Hoe laat is het (bijv. 3:25)?, Hoeveel minuten tussen 3:10 en 3:40?, Start 10:15, duur 15 min: eindtijd?, Welke tijd past bij het dagritme?. Format: 4 antwoordopties (1 correct). Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","kloklezen;5-minuten;tijdsduur","school/sport","70% basis;25% verdieping;5% uitdaging","kort","strategiehint"
"4","4MM5","Omtrek berekenen","E","Omtrek van vierkant/rechthoek met kleine maten","Genereer 10 oefeningen voor Groep 4 (eind schooljaar). Kerndoel: K33 (Meetkunde). Inhoudslijn: Meten & Meetkunde > Meetkunde > Omtrek. Leerdoel (4MM5): Omtrek van vierkant en rechthoek berekenen met maten t/m 20 cm. Niveau: E (eind groep 4). Context: lijst om foto, rand om tuinbed. Vraagtypen: Vierkant zijde 5 cm: omtrek?, Rechthoek 6×3 cm: omtrek?, Kies de juiste omtrek bij schets, Welke formule past?. Format: 4 antwoordopties (1 correct). Scaffolding: 4×zijde of 2×(l+b). Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","omtrek;formule;schets-lezen","huis/tuin/klas","60% basis;30% verdieping;10% uitdaging","kort","strategiehint"
"4","4MM6","Ruimtelijke figuren","E","3D-vormen herkennen met voorbeelden","Genereer 10 oefeningen voor Groep 4 (eind schooljaar). Kerndoel: K33 (Meetkunde). Inhoudslijn: Meten & Meetkunde > Meetkunde > Ruimtelijke figuren (herkennen). Leerdoel (4MM6): Kubus, balk, bol, cilinder, kegel herkennen en koppelen aan voorwerpen. Niveau: E (eind groep 4). Context: dobbelsteen (kubus), melkpak (balk), blikje (cilinder), ijshoorntje (kegel), voetbal (bol). Vraagtypen: Welk voorwerp hoort bij deze vorm?, Welke figuur heeft geen hoeken?, Kies de kubus, Welke heeft ronde vlakken?. Format: 4 antwoordopties (1 correct). Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","3D-herkennen;koppelen;woordenschat","dagelijks leven","60% basis;30% verdieping;10% uitdaging","kort","strategiehint"
"4","4MM7","Geld: rekenen tot 100 euro","E","Rekenen met bedragen tot 100 euro, eenvoudig wisselgeld","Genereer 10 oefeningen voor Groep 4 (eind schooljaar). Kerndoel: K32 (Meten). Inhoudslijn: Meten & Meetkunde > Meten > Geld. Leerdoel (4MM7): Optellen/aftrekken met bedragen t/m 100 euro en eenvoudig wisselgeld. Niveau: E (eind groep 4). Houd de basis op hele euro’s; gebruik bedragen met ,50 als verdieping en ,25/,75 alleen als uitdaging. Context: winkel met realistische prijzen. Vraagtypen: Je betaalt 20 euro, het kost 13 euro: wisselgeld?, 23 + 18 = ?, Is 50 euro genoeg voor twee items?, Afronden en schatten. Format: 4 antwoordopties (1 correct). Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","geld;optellen;aftrekken;wisselgeld;schatten","winkel","60% basis;30% verdieping;10% uitdaging","kort","strategiehint"
"5","5MM1","Lengte: kilometer","M","Kilometer gebruiken en omrekenen naar meter","Genereer 10 oefeningen voor Groep 5 (midden schooljaar). Kerndoel: K32 (Meten). Inhoudslijn: Meten & Meetkunde > Meten > Lengte (grote afstanden). Leerdoel (5MM1): Kilometer gebruiken en omrekenen naar meter. Niveau: M (midden groep 5). Context: afstanden tussen plaatsen, fietsroutes. Vraagtypen: 3 km = ? m, 1500 m = ? km, Welke eenheid past?, Schatting: is 8 km fietsen haalbaar?. Format: 4 antwoordopties (1 correct). Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","omrekenen;km-m;eenheid-kiezen;schatten","routes/plaatsen","70% basis;25% verdieping;5% uitdaging","kort","strategiehint"
"5","5MM2","Oppervlakte rechthoek/vierkant","M","Oppervlakte berekenen met l x b","Genereer 10 oefeningen voor Groep 5 (midden schooljaar). Kerndoel: K33 (Meetkunde). Inhoudslijn: Meten & Meetkunde > Meetkunde > Oppervlakte (basis). Leerdoel (5MM2): Oppervlakte van rechthoek/vierkant berekenen met lengte × breedte. Niveau: M (midden groep 5). Context: tafelblad, tegelvloer, schrift. Vraagtypen: Rechthoek 6×4 cm: opp?, Vierkant zijde 5 cm: opp?, Kies de juiste oppervlakte bij schets, Tel hokjes als steun. Format: 4 antwoordopties (1 correct). Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","oppervlakte;lxb;schets-lezen;hokjesmodel","huis/school","70% basis;25% verdieping;5% uitdaging","kort","strategiehint"
"5","5MM3","Klok: tijdsduur en start/eindtijd","E","Berekenen van tijdsduur en eenvoudige overgangen over het uur","Genereer 10 oefeningen voor Groep 5 (eind schooljaar). Kerndoel: K32 (Meten). Inhoudslijn: Meten & Meetkunde > Meten > Tijd (duur). Leerdoel (5MM3): Tijdsduur en start/eindtijd berekenen, ook over het hele uur heen (binnen 2 uur). Niveau: E (eind groep 5). Context: reistijd, sport, tv-programma’s. Vraagtypen: Start 14:35, duur 25 min: eindtijd?, Tijd tussen 09:50 en 10:20?, Les duurt 45 min, start 11:15: eindtijd?, Welke optie past bij een rooster?. Format: 4 antwoordopties (1 correct). Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","tijdsduur;over-het-uur;tijdlijn","rooster/reizen","50% basis;35% verdieping;15% uitdaging","kort","strategiehint"
"5","5MM4","Symmetrie en spiegelen","E","Eenvoudige spiegellijnen in vlakke figuren","Genereer 10 oefeningen voor Groep 5 (eind schooljaar). Kerndoel: K33 (Meetkunde). Inhoudslijn: Meten & Meetkunde > Meetkunde > Symmetrie. Leerdoel (5MM4): Spiegellijnen herkennen en eenvoudige figuren spiegelen op roosterpapier. Niveau: E (eind groep 5). Context: patronen, tegels, vlinders. Vraagtypen: Waar ligt de spiegellijn?, Welke figuur is symmetrisch?, Kies de correcte spiegeling, Teken/lees af op rooster. Format: 4 antwoordopties (1 correct). Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","symmetrie;spiegelen;rooster","patronen/kunst","50% basis;35% verdieping;15% uitdaging","kort","strategiehint"
"6","6MM1","Oppervlakte driehoek (basiskennis)","M","Eenvoudige oppervlakte driehoek met opp = (b x h) : 2","Genereer 10 oefeningen voor Groep 6 (midden schooljaar). Kerndoel: K33 (Meetkunde). Inhoudslijn: Meten & Meetkunde > Meetkunde > Oppervlakte (driehoek). Leerdoel (6MM1): Oppervlakte driehoek berekenen met opp = (basis × hoogte) ÷ 2 (kleine, hele getallen). Niveau: M (midden groep 6). Context: vlag, dakvorm, taartpunt. Vraagtypen: Bereken oppervlakte, Welke maat is de hoogte?, Waarom deel je door 2?, Kies het juiste stappenplan. Format: 4 antwoordopties (1 correct). Steun: formulekaart toegestaan. Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","oppervlakte;driehoek;formule;stappenplan","vormen/constructies","70% basis;25% verdieping;5% uitdaging","kort","strategiehint"
"6","6MM2","Cirkel: straal en diameter","M","Straal en diameter herkennen en meten (zonder pi)","Genereer 10 oefeningen voor Groep 6 (midden schooljaar). Kerndoel: K33 (Meetkunde). Inhoudslijn: Meten & Meetkunde > Meetkunde > Cirkel (basis). Leerdoel (6MM2): Straal en diameter herkennen, benoemen en meten (zonder pi/omtrekformules). Niveau: M (midden groep 6). Context: deksel, tafel, wiel. Vraagtypen: Diameter 10 cm: straal?, Welke lijn is de diameter/straal?, Teken een cirkel met straal 4 cm, Meet op een tekening. Format: 4 antwoordopties (1 correct). Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","cirkel;straal-diameter;meten","dagelijks leven","70% basis;25% verdieping;5% uitdaging","kort","strategiehint"
"6","6MM3","Coördinaten: eerste kwadrant","M","Punten lezen/plaatsen met positieve x en y","Genereer 10 oefeningen voor Groep 6 (midden schooljaar). Kerndoel: K33 (Meetkunde). Inhoudslijn: Meten & Meetkunde > Meetkunde > Coördinaten. Leerdoel (6MM3): Coördinaten lezen en plaatsen in het eerste kwadrant (x>0, y>0). Niveau: M (midden groep 6). Context: roosterpapier, spelbord. Vraagtypen: Welke coördinaten heeft punt A?, Plaats punt op (4,2), Wat staat op (3,5)?, Welke figuur ontstaat als je punten verbindt?. Format: 4 antwoordopties (1 correct). Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","coördinaten;rooster;aflezen;plaatsen","spel/rooster","70% basis;25% verdieping;5% uitdaging","kort","strategiehint"
"6","6MM4","Hoeken meten","M","Hoeken meten en benoemen met gradenboog","Genereer 10 oefeningen voor Groep 6 (midden schooljaar). Kerndoel: K33 (Meetkunde). Inhoudslijn: Meten & Meetkunde > Meetkunde > Hoeken. Leerdoel (6MM4): Hoeken meten met gradenboog en benoemen (scherp, recht, stomp) in graden. Niveau: M (midden groep 6). Context: figuren, architectuur, verkeer. Vraagtypen: Meet deze hoek, Hoeveel graden is een rechte hoek?, Welke hoek is stomp?, Teken een hoek van 60°. Format: 4 antwoordopties (1 correct). Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","hoeken;gradenboog;meten;classificeren","verkeer/constructies","70% basis;25% verdieping;5% uitdaging","kort","strategiehint"
"6","6MM5","Volume kubus/balk","E","Volume van kubus en balk met l x b x h","Genereer 10 oefeningen voor Groep 6 (eind schooljaar). Kerndoel: K33 (Meetkunde). Inhoudslijn: Meten & Meetkunde > Meetkunde > Volume (kubus/balk). Leerdoel (6MM5): Volume berekenen van kubus en balk met l×b×h (kleine, hele getallen). Niveau: E (eind groep 6). Context: dozen, aquarium, kamer. Vraagtypen: Balk 5×3×4 cm: volume?, Kubus ribbe 6 cm: volume?, Welke formule past?, Hoeveel cm³ past erin?. Format: 4 antwoordopties (1 correct). Steun: formulekaart toegestaan. Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","volume;lxbxh;formule","dozen/ruimte","60% basis;30% verdieping;10% uitdaging","kort","strategiehint"
"6","6MM6","Perspectief en blokken tellen","E","Ruimtelijke figuren in perspectief tekenen en blokjes tellen","Genereer 10 oefeningen voor Groep 6 (eind schooljaar). Kerndoel: K33 (Meetkunde). Inhoudslijn: Meten & Meetkunde > Meetkunde > Ruimtelijk inzicht. Leerdoel (6MM6): Eenvoudige blokkenbouwsels tellen (ook verborgen blokjes) en schetsen in perspectief (isometrisch). Niveau: E (eind groep 6). Context: stapels blokjes. Vraagtypen: Hoeveel blokjes totaal?, Welke aanzichten horen erbij?, Welke stapel heeft meer blokjes?, Kies de juiste perspectieftekening. Format: 4 antwoordopties (1 correct). Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","ruimtelijk-inzicht;visualiseren;blokken-tellen","blokkenbouwsels","60% basis;30% verdieping;10% uitdaging","kort","strategiehint"
"6","6MM7","Schaal op kaarten","E","Eenvoudige schaal gebruiken voor afstanden","Genereer 10 oefeningen voor Groep 6 (eind schooljaar). Kerndoel: K33 (Meetkunde). Inhoudslijn: Meten & Meetkunde > Meetkunde > Schaal (kaart). Leerdoel (6MM7): Schaal gebruiken om echte afstanden te berekenen (bijv. 1:1.000, 1:5.000, 1:10.000) met korte afstanden. Niveau: E (eind groep 6). Context: plattegrond van wijk/schoolplein. Vraagtypen: Kaartafstand 5 cm bij 1:1.000: echte afstand?, Welke schaal past?, Meet op de kaart en reken om naar meters, Kies de juiste rekenstap. Format: 4 antwoordopties (1 correct). Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","schaal;omrekenen;meten-op-kaart","plattegrond","60% basis;30% verdieping;10% uitdaging","kort","strategiehint"
"7","7MM1","Cirkel: omtrek praktisch","M","Omtrek van cirkel praktisch meten (geen pi-formules)","Genereer 10 oefeningen voor Groep 7 (midden schooljaar). Kerndoel: K33 (Meetkunde). Inhoudslijn: Meetkunde > Cirkel (praktisch meten). Leerdoel (7MM1): Omtrek van een cirkel praktisch meten met touwtje/meetlint; geen pi-formules. Niveau: M (midden groep 7). Context: wielen, ronde tafels, borden. Vraagtypen: Welke meetmethode past?, Kies het beste meetinstrument, Omtrek is ongeveer 3×diameter (herkennen in voorbeelden), Schat welke omtrek past bij een gegeven diameter. Format: 4 antwoordopties (1 correct). Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","cirkel;praktisch-meten;schatten","dagelijks leven","70% basis;25% verdieping;5% uitdaging","kort","strategiehint"
"7","7MM2","Diagonalen meten en schatten","M","Diagonalen in rechthoeken meten/schatten (geen Pythagoras)","Genereer 10 oefeningen voor Groep 7 (midden schooljaar). Kerndoel: K33 (Meetkunde). Inhoudslijn: Meetkunde > Diagonalen (praktisch). Leerdoel (7MM2): Diagonalen in rechthoeken/vierkanten meten en schatten met liniaal; geen formules. Niveau: M (midden groep 7). Context: schermen, plattegronden, tuin. Vraagtypen: Meet de diagonaal op een tekening, Welke rechthoek heeft de langste diagonaal (visueel)? , Hoeveel diagonalen heeft een rechthoek?, Kies de beste schatting. Format: 4 antwoordopties (1 correct). Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","meten;diagonaal;schatten;visualiseren","schermen/plattegrond","70% basis;25% verdieping;5% uitdaging","kort","strategiehint"
"7","7MM3","Hoeken: soorten en meten","M","Scherpe, rechte, stompe hoeken onderscheiden en meten","Genereer 10 oefeningen voor Groep 7 (midden schooljaar). Kerndoel: K33 (Meetkunde). Inhoudslijn: Meetkunde > Hoeken. Leerdoel (7MM3): Scherpe, rechte en stompe hoeken herkennen én meten in graden. Niveau: M (midden groep 7). Context: architectuur, verkeer, figuren. Vraagtypen: Is deze hoek scherp/recht/stomp?, Meet en kies het juiste aantal graden, Welke hoek is 45°/90°/120°?, Koppel hoektype aan graden. Format: 4 antwoordopties (1 correct). Noteer per item: vraag, opties, juiste antwoord, korte strategiefeedback.","10","4","hoeken;meten;classificeren","verkeer/constructies","70% basis;25% verdieping;5% uitdaging","kort","strategiehint"
