Groep,Code,Beschrijving,Level,Toelichting,Prompt_Template
4,4NT1,Gezonde leefstijl,M,"Voeding, beweging, slaap, hygiëne","Genereer 10 oefeningen voor Groep 4 (midden schooljaar). Kerndoel: O5 (Kerndoel 41: Gezondheid en gezonde leefstijl). Inhoudslijn: Oriëntatie - Natuur en Techniek - Gezondheid - Gezonde leefstijl. Leerdoel (4NT1): Een gezonde leefstijl begrijpen: evenwichtige voeding (schijf van vijf), voldoende beweging, genoeg slaap, persoonlijke hygiëne. Niveau: M (midden groep 4). Wetenschappelijke kennis met praktische toepassing op het eigen leven. Gebruik schema's en infographics. Vraagtypen: Hoeveel uur slaap hebben kinderen van 9 jaar nodig? (8-10 uur), Wat is de schijf van vijf en waarom is die belangrijk?, Waarom moet je je handen wassen na het toiletbezoek?, Hoeveel minuten moet je per dag bewegen? (minimaal 60 minuten), Welke voedingsgroepen zijn er?, Waarom is tandenpoetsen belangrijk?. Format: 10 meerkeuze vragen met 4 antwoordopties, CITO-stijl met praktische gezondheidssituaties. Werkvorm: Zelfstandig werken, koppel aan wekelijkse sportlessen en gezonde schoolcampagnes."
4,4NT2,Planten: fotosynthese,M,"Hoe groeien planten? Zonlicht, water, voeding","Genereer 10 oefeningen voor Groep 4 (midden schooljaar). Kerndoel: O6 (Kerndoel 42: Planten en dieren - plantengroei). Inhoudslijn: Oriëntatie - Natuur en Techniek - Planten - Fotosynthese en groei. Leerdoel (4NT2): Begrijpen hoe planten groeien en wat fotosynthese is (zonlicht, water, CO2, voedingsstoffen uit de bodem). Niveau: M (midden groep 4). Wetenschappelijk onderzoek met experimenten. Gebruik plantenschema's en groeifoto's. Vraagtypen: Wat hebben planten nodig om te groeien?, Wat is fotosynthese in eenvoudige woorden?, Waarom zijn bladeren groen? (chlorofyl), Waarvoor gebruiken planten zonlicht?, Wat gebeurt er als een plant geen water krijgt?, Hoe nemen planten water op?. Format: 10 meerkeuze vragen met 4 antwoordopties, CITO-stijl met schema's en diagrammen. Werkvorm: Zelfstandig werken, koppel aan plantengroei-experimenten in de klas (bonen laten groeien met/zonder licht/water)."
4,4NT3,Dieren: categorieën,E,"Zoogdieren, vogels, vissen, reptielen, amfibieën, insecten","Genereer 10 oefeningen voor Groep 4 (eind schooljaar). Kerndoel: O6 (Kerndoel 42: Planten en dieren - classificatie). Inhoudslijn: Oriëntatie - Natuur en Techniek - Dieren - Diergroepen classificatie. Leerdoel (4NT3): Dieren kunnen indelen in groepen op basis van kenmerken: zoogdieren, vogels, vissen, reptielen, amfibieën, insecten. Niveau: E (eind groep 4). Wetenschappelijke classificatie met observatie van kenmerken. Gebruik foto's van diverse Nederlandse en bekende internationale dieren. Vraagtypen: Tot welke groep behoort een hond/kat/konijn? (zoogdier), Is een kip een vogel of een zoogdier?, Welke dieren leggen eieren?, Wat zijn kenmerken van vissen?, Tot welke groep behoort een kikker? (amfibie), Hoeveel poten heeft een insect?. Format: 10 classificatievragen met 4 antwoordopties, CITO-stijl met kenmerkentabellen en dierfoto's. Werkvorm: Zelfstandig werken, gebruik natuurfilmpjes en/of excursie naar dierentuin/kinderboerderij ter voorbereiding."
4,4NT4,Energie: vormen,E,"Verschillende vormen van energie: licht, warmte, geluid, beweging","Genereer 10 oefeningen voor Groep 4 (eind schooljaar). Kerndoel: O8 (Kerndoel 44: Energie - energievormen). Inhoudslijn: Oriëntatie - Natuur en Techniek - Energie - Verschillende energievormen. Leerdoel (4NT4): Verschillende vormen van energie herkennen en benoemen: licht, warmte, geluid, beweging, elektrische energie. Niveau: E (eind groep 4). Wetenschappelijke observatie van energie in het dagelijks leven. Gebruik illustraties en praktijkvoorbeelden. Vraagtypen: Welke energievorm komt van de zon? (licht en warmte), Wat is geluid?, Welke energie gebruik je als je fietst? (bewegingsenergie), Waarvoor gebruiken we elektrische energie?, Wat is een voorbeeld van energieomzetting? (lamp: elektriciteit naar licht), Waar komt de energie vandaan als je een bal gooit?. Format: 10 meerkeuze vragen met 4 antwoordopties, CITO-stijl met dagelijkse energievoorbeelden. Werkvorm: Zelfstandig werken, koppel aan eenvoudige energie-experimenten (zaklamp, fluistertelefoon, beweging)."
5,5NT1,Menselijk lichaam gevorderd,M,"Spijsvertering, bloedsomloop, ademhaling","Genereer 10 oefeningen voor Groep 5 (midden schooljaar). Kerndoel: O5 (Kerndoel 41: Gezondheid en menselijk lichaam - systemen). Inhoudslijn: Oriëntatie - Natuur en Techniek - Menselijk lichaam - Lichaamssystemen. Leerdoel (5NT1): Begrijpen hoe de belangrijkste lichaamssystemen werken: spijsverteringsstelsel, bloedsomloop, ademhalingsstelsel. Niveau: M (midden groep 5). Wetenschappelijke kennis van complexere lichaamsfuncties. Gebruik gedetailleerde anatomische schema's en animaties. Vraagtypen: Welke organen horen bij het spijsverteringsstelsel? (mond, slokdarm, maag, darmen), Hoe werkt de bloedsomloop?, Waarom adem je zuurstof in en koolstofdioxide uit?, Wat is de route van voedsel door het lichaam?, Wat doet het hart in de bloedsomloop?, Hoeveel keer per minuut ademt een kind gemiddeld?. Format: 10 meerkeuze vragen met 4 antwoordopties, CITO-stijl met systeemdiagrammen. Werkvorm: Zelfstandig werken, gebruik anatomisch model of digitale lichaamstour."
5,5NT2,Ecosystemen,M,"Voedselketen en ecosystemen","Genereer 10 oefeningen voor Groep 5 (midden schooljaar). Kerndoel: O6 (Kerndoel 42: Planten en dieren - ecosystemen). Inhoudslijn: Oriëntatie - Natuur en Techniek - Ecosystemen - Voedselketens. Leerdoel (5NT2): Begrijpen hoe voedselketens werken en wat een ecosysteem is (producenten, consumenten, ontbinders). Niveau: M (midden groep 5). Wetenschappelijk onderzoek naar ecologische relaties met Nederlandse ecosystemen. Gebruik voedselketendiagrammen en ecosysteemillustraties. Vraagtypen: Maak een voedselketen in het Nederlandse bos (gras-konijn-vos), Wie zijn de producenten in een ecosysteem?, Wat is het verschil tussen een herbivoor en carnivoor?, Wat eten konijnen/vossen/uilen?, Wat zijn consumenten?, Wat gebeurt er als één schakel verdwijnt uit de voedselketen?. Format: 10 meerkeuze vragen met 4 antwoordopties, CITO-stijl met voedselketendiagrammen. Werkvorm: Zelfstandig werken, koppel aan excursie naar natuurgebied of natuurfilm over Nederlandse ecosystemen."
5,5NT3,Waterkringloop,M,"Hoe werkt de waterkringloop?","Genereer 10 oefeningen voor Groep 5 (midden schooljaar). Kerndoel: O5-O7 (Kerndoelen 41-45: Menselijk lichaam, Planten & Dieren, Materie & Energie, Techniek, ICT). Inhoudslijn: Oriëntatie - Natuur en Techniek - Waterkringloop. Leerdoel (5NT3): Hoe werkt de waterkringloop? Niveau: M (midden groep 5). Vraagtypen: verdamping-condensatie-neerslag, waar komt regen vandaan, wat zijn wolken, volgorde waterkringloop. Format: waterkringloop cyclus."
5,5NT4,Elektriciteit basis,E,"Stroomkring, geleiders en isolatoren","Genereer 10 oefeningen voor Groep 5 (eind schooljaar). Kerndoel: O5-O7 (Kerndoelen 41-45: Menselijk lichaam, Planten & Dieren, Materie & Energie, Techniek, ICT). Inhoudslijn: Oriëntatie - Natuur en Techniek - Elektriciteit. Leerdoel (5NT4): Stroomkring, geleiders en isolatoren. Niveau: E (eind groep 5). Vraagtypen: hoe maak je een stroomkring, wat is een geleider/isolator, welke materialen geleiden stroom, serie en parallel. Format: stroomkring schema's."
5,5NT5,Techniek: machines,E,"Eenvoudige machines: hefboom, katrol, tandwiel","Genereer 10 oefeningen voor Groep 5 (eind schooljaar). Kerndoel: O5-O7 (Kerndoelen 41-45: Menselijk lichaam, Planten & Dieren, Materie & Energie, Techniek, ICT). Inhoudslijn: Oriëntatie - Natuur en Techniek - Techniek en machines. Leerdoel (5NT5): Eenvoudige machines: hefboom, katrol, tandwiel. Niveau: E (eind groep 5). Vraagtypen: hoe werkt een hefboom, waar zie je een katrol, voorbeelden van tandwielen, mechanische voordeel. Format: machines en werkingsprincipes."
6,6NT1,Puberteit en voortplanting,M,"Lichamelijke veranderingen, voortplanting","Genereer 10 oefeningen voor Groep 6 (midden schooljaar). Kerndoel: O5-O7 (Kerndoelen 41-45: Menselijk lichaam, Planten & Dieren, Materie & Energie, Techniek, ICT). Inhoudslijn: Oriëntatie - Natuur en Techniek - Voortplanting. Leerdoel (6NT1): Lichamelijke veranderingen, voortplanting. Niveau: M (midden groep 6). Vraagtypen: welke veranderingen bij puberteit, ontwikkeling baby in de baarmoeder, voortplantingsorganen. Format: ontwikkeling en voortplanting."
6,6NT2,Biodiversiteit,M,"Biodiversiteit en bedreigde diersoorten","Genereer 10 oefeningen voor Groep 6 (midden schooljaar). Kerndoel: O5-O7 (Kerndoelen 41-45: Menselijk lichaam, Planten & Dieren, Materie & Energie, Techniek, ICT). Inhoudslijn: Oriëntatie - Natuur en Techniek - Biodiversiteit. Leerdoel (6NT2): Biodiversiteit en bedreigde diersoorten. Niveau: M (midden groep 6). Vraagtypen: wat is biodiversiteit, welke dieren zijn bedreigd, waarom is biodiversiteit belangrijk, bedreigingen voor diersoorten. Format: natuurbehoud en ecologie."
6,6NT3,Weer en klimaatverandering,E,"Klimaat, broeikaseffect, klimaatverandering","Genereer 10 oefeningen voor Groep 6 (eind schooljaar). Kerndoel: O5-O7 (Kerndoelen 41-45: Menselijk lichaam, Planten & Dieren, Materie & Energie, Techniek, ICT). Inhoudslijn: Oriëntatie - Natuur en Techniek - Klimaatverandering. Leerdoel (6NT3): Klimaat, broeikaseffect, klimaatverandering. Niveau: E (eind groep 6). Vraagtypen: wat is het broeikaseffect, oorzaken klimaatverandering, gevolgen van opwarming aarde, CO2 en broeikasgassen. Format: klimaat en milieu."
6,6NT4,Elektriciteit gevorderd,E,"Spanning, stroomsterkte, vermogen","Genereer 10 oefeningen voor Groep 6 (eind schooljaar). Kerndoel: O5-O7 (Kerndoelen 41-45: Menselijk lichaam, Planten & Dieren, Materie & Energie, Techniek, ICT). Inhoudslijn: Oriëntatie - Natuur en Techniek - Elektriciteit. Leerdoel (6NT4): Spanning, stroomsterkte, vermogen. Niveau: E (eind groep 6). Vraagtypen: wat is voltage/spanning, verschil serie en parallel schakeling, wat meet je in Ampère/Volt/Watt. Format: elektrische begrippen."
6,6NT5,Techniek: constructies,E,"Bouwen en constructies, sterkte en stabiliteit","Genereer 10 oefeningen voor Groep 6 (eind schooljaar). Kerndoel: O5-O7 (Kerndoelen 41-45: Menselijk lichaam, Planten & Dieren, Materie & Energie, Techniek, ICT). Inhoudslijn: Oriëntatie - Natuur en Techniek - Constructies. Leerdoel (6NT5): Bouwen en constructies, sterkte en stabiliteit. Niveau: E (eind groep 6). Vraagtypen: sterke bouwvormen (driehoek, boog), waarom staat een brug niet in, zwaartepunt en evenwicht. Format: bouw en constructieprincipes."
7,7NT1,Cellen en DNA,M,"Cellen, weefsels, organen, DNA","Genereer 10 oefeningen voor Groep 7 (midden schooljaar). Kerndoel: O5-O7 (Kerndoelen 41-45: Menselijk lichaam, Planten & Dieren, Materie & Energie, Techniek, ICT). Inhoudslijn: Oriëntatie - Natuur en Techniek - Cellen en DNA. Leerdoel (7NT1): Cellen, weefsels, organen, DNA. Niveau: M (midden groep 7). Vraagtypen: wat is een cel, opbouw van cel (celwand, kern, cytoplasma), wat is DNA, erfelijkheid. Format: celbiologie basis."
7,7NT2,Evolutie basis,M,"Evolutie en natuurlijke selectie","Genereer 10 oefeningen voor Groep 7 (midden schooljaar). Kerndoel: O5-O7 (Kerndoelen 41-45: Menselijk lichaam, Planten & Dieren, Materie & Energie, Techniek, ICT). Inhoudslijn: Oriëntatie - Natuur en Techniek - Evolutie. Leerdoel (7NT2): Evolutie en natuurlijke selectie. Niveau: M (midden groep 7). Vraagtypen: wat is evolutie, natuurlijke selectie (Darwin), aanpassing aan omgeving, fossiele bewijzen. Format: evolutietheorie basis."
7,7NT3,Duurzame energie,M,"Zonne-energie, windenergie, waterkracht","Genereer 10 oefeningen voor Groep 7 (midden schooljaar). Kerndoel: O5-O7 (Kerndoelen 41-45: Menselijk lichaam, Planten & Dieren, Materie & Energie, Techniek, ICT). Inhoudslijn: Oriëntatie - Natuur en Techniek - Duurzame energie. Leerdoel (7NT3): Zonne-energie, windenergie, waterkracht. Niveau: M (midden groep 7). Vraagtypen: hernieuwbare vs niet-hernieuwbare energie, hoe werkt een zonnepaneel/windmolen, voor- en nadelen energiebronnen. Format: energiebronnen vergelijken."
7,7NT4,Scheikundige reacties,E,"Verbranding, oxidatie, chemische reacties","Genereer 10 oefeningen voor Groep 7 (eind schooljaar). Kerndoel: O5-O7 (Kerndoelen 41-45: Menselijk lichaam, Planten & Dieren, Materie & Energie, Techniek, ICT). Inhoudslijn: Oriëntatie - Natuur en Techniek - Scheikunde. Leerdoel (7NT4): Verbranding, oxidatie, chemische reacties. Niveau: E (eind groep 7). Vraagtypen: wat is verbranding, wat is nodig voor vuur (zuurstof, brandstof, warmte), voorbeelden chemische reacties, roesten. Format: chemische processen."
7,7NT5,Techniek: programmeren,E,"Kennismaken met programmeren en robotica","Genereer 10 oefeningen voor Groep 7 (eind schooljaar). Kerndoel: O5-O7 (Kerndoelen 41-45: Menselijk lichaam, Planten & Dieren, Materie & Energie, Techniek, ICT). Inhoudslijn: Oriëntatie - Natuur en Techniek - ICT en programmeren. Leerdoel (7NT5): Kennismaken met programmeren en robotica. Niveau: E (eind groep 7). Vraagtypen: wat is een algoritme, basis programmeerconcepten (loops, if-then), sequenties en logica. Format: programmeerlogica opdrachten."
8,8NT1,Zonnestelsel,M,"Planeten, zon, maan, sterrenstelsels","Genereer 10 oefeningen voor Groep 8 (midden schooljaar). Kerndoel: O5-O7 (Kerndoelen 41-45: Menselijk lichaam, Planten & Dieren, Materie & Energie, Techniek, ICT). Inhoudslijn: Oriëntatie - Natuur en Techniek - Zonnestelsel. Leerdoel (8NT1): Planeten, zon, maan, sterrenstelsels. Niveau: M (midden groep 8). Vraagtypen: volgorde planeten, eigenschappen planeten, waarom heeft de maan fasen, wat is de Melkweg. Format: astronomie basis."
8,8NT2,Ecologie en duurzaamheid,M,"Ecologische voetafdruk, duurzame keuzes","Genereer 10 oefeningen voor Groep 8 (midden schooljaar). Kerndoel: O5-O7 (Kerndoelen 41-45: Menselijk lichaam, Planten & Dieren, Materie & Energie, Techniek, ICT). Inhoudslijn: Oriëntatie - Natuur en Techniek - Ecologie en duurzaamheid. Leerdoel (8NT2): Ecologische voetafdruk, duurzame keuzes. Niveau: M (midden groep 8). Vraagtypen: wat is ecologische voetafdruk, hoe verklein je je impact, recycling en hergebruik, duurzaamheid in dagelijks leven. Format: duurzaamheid toepassingen."
8,8NT3,Natuurkunde: kracht en beweging,E,"Kracht, zwaartekracht, snelheid, versnelling","Genereer 10 oefeningen voor Groep 8 (eind schooljaar). Kerndoel: O5-O7 (Kerndoelen 41-45: Menselijk lichaam, Planten & Dieren, Materie & Energie, Techniek, ICT). Inhoudslijn: Oriëntatie - Natuur en Techniek - Natuurkunde. Leerdoel (8NT3): Kracht, zwaartekracht, snelheid, versnelling. Niveau: E (eind groep 8). Vraagtypen: wat is kracht (Newton), zwaartekracht en massa, snelheid berekenen (afstand/tijd), versnelling. Format: natuurkunde basisconcepten."
8,8NT4,Technologie en samenleving,E,"Impact van technologie op de samenleving","Genereer 10 oefeningen voor Groep 8 (eind schooljaar). Kerndoel: O5-O7 (Kerndoelen 41-45: Menselijk lichaam, Planten & Dieren, Materie & Energie, Techniek, ICT). Inhoudslijn: Oriëntatie - Natuur en Techniek - Technologie en samenleving. Leerdoel (8NT4): Impact van technologie op de samenleving. Niveau: E (eind groep 8). Vraagtypen: voor- en nadelen technologie, privacy en veiligheid online, AI en toekomst, digitale geletterdheid. Format: technologie en ethiek."
8,8NT5,Wetenschappelijke methode,E,"Onderzoek doen: hypothese, experiment, conclusie","Genereer 10 oefeningen voor Groep 8 (eind schooljaar). Kerndoel: O5-O7 (Kerndoelen 41-45: Menselijk lichaam, Planten & Dieren, Materie & Energie, Techniek, ICT). Inhoudslijn: Oriëntatie - Natuur en Techniek - Wetenschappelijke methode. Leerdoel (8NT5): Onderzoek doen: hypothese, experiment, conclusie. Niveau: E (eind groep 8). Vraagtypen: stappen wetenschappelijk onderzoek, hypothese opstellen, variabelen identificeren, conclusies trekken uit data. Format: onderzoeksmethoden en experimenten."
