"Groep","Code","Beschrijving","Level","Toelichting","Prompt_Template","Item_Count","Option_Count","Strategy_Tags","Context","Difficulty_Mix","Text_Length","Feedback_Type"
"4","4R2","Grote steden","M","Grote steden van Nederland kennen en plaatsen","Genereer 10 oefeningen voor Groep 4 (midden schooljaar). Kerndoel: O9 en O10 (Kerndoelen 47-48: Kaartvaardigheden en kenmerkende aspecten van Nederland). Inhoudslijn: Ori?ntatie - Ruimte (Aardrijkskunde) - Steden topografie. Leerdoel (4R2): Grote steden van Nederland kennen en op de kaart kunnen plaatsen. Niveau: M (midden groep 4). Gebruik kaart van Nederland met steden. Belangrijke steden: Amsterdam (hoofdstad), Rotterdam, Den Haag (regeringszetel), Utrecht, Eindhoven, Groningen, Maastricht, Arnhem, Nijmegen, Haarlem. Combineer met provincies. Vraagtypen: Waar ligt Amsterdam op de kaart?, Welke stad is de hoofdstad van Nederland?, In welke provincie ligt Rotterdam?, Waar zetelt de regering - Amsterdam of Den Haag?, Welke grote stad ligt in Limburg?. Format: 10 topografische vragen, 4 antwoordopties per vraag (CITO-stijl). Differentiatie: begin met 5-6 grote steden, uitbreiden naar 10-12 voor verdieping. Materiaal: schoolatlas, digitale kaart. Zelfstandig werken. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
"4","4R3","Landschap Nederland","E","Landschapstypen: polder, duinen, heide, bos","Genereer 10 oefeningen voor Groep 4 (eind schooljaar). Kerndoel: O10 (Kerndoel 48: Kenmerkende aspecten - Nederlandse landschappen). Inhoudslijn: Ori?ntatie - Ruimte (Aardrijkskunde) - Landschapsvormen Nederland. Leerdoel (4R3): Typische Nederlandse landschapstypen herkennen, benoemen en plaatsen: polder, duinen, heide, bos, rivierenlandschap, delta. Niveau: E (eind groep 4). Gebruik foto's en kaarten van Nederlandse landschappen. Context: Nederland is laag en vlak, met polders onder zeeniveau, dijken, duinen langs de kust, heide in het oosten. Vraagtypen: Wat is een polder?, Herken je dit landschap - duinen of heide?, Waar vind je duinen in Nederland - aan de kust of in het oosten?, Wat is typisch Nederlands - bergen of polders?, Waarvoor zijn dijken in Nederland?, Welk landschap zie je op deze foto (Veluwe/Wadden/Delta)?. Format: 10 vragen met foto's en kaarten, 4 antwoordopties per vraag (CITO-stijl). Gebruik bekende voorbeelden: Deltawerken, Veluwe, Waddeneilanden. Zelfstandig werken. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
"4","4R4","Atlas gebruiken","E","Atlas gebruiken om plaatsen op te zoeken","Genereer 10 oefeningen voor Groep 4 (eind schooljaar). Kerndoel: O9 (Kerndoel 47: Kaartvaardigheden - atlas en register gebruiken). Inhoudslijn: Ori?ntatie - Ruimte (Aardrijkskunde) - Atlasvaardigheden basis. Leerdoel (4R4): Kinderatlas gebruiken om plaatsen op te zoeken met register en inhoudsopgave. Niveau: E (eind groep 4). Gebruik kinderatlas met eenvoudig register. Oefenen met: inhoudsopgave lezen, register alfabetisch doorzoeken, paginanummers vinden, co?rdinaten (rijen en kolommen A-Z en 1-20). Context: Nederlandse plaatsen opzoeken. Vraagtypen: Op welke bladzijde staat de kaart van Nederland?, Zoek Utrecht in het register - op welke bladzijde staat het?, Wat betekent 'Utrecht C4' in het register?, In welk vakje (co?rdinaat) ligt Groningen op de kaart?, Hoeveel kaarten van Europa staan er in deze atlas?. Format: 10 praktische atlasvragen, 4 antwoordopties per vraag (CITO-stijl). Materiaal: schoolatlas (bijv. Bosatlas Junior), oefenen met eigen atlas. Zelfstandig werken, atlas is toegestaan hulpmiddel. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
"5","5R1","Buurlanden","M","Buurlanden van Nederland kennen","Genereer 10 oefeningen voor Groep 5 (midden schooljaar). Kerndoel: O9 en O10 (Kerndoelen 47-48: Kaartvaardigheden en kenmerkende aspecten van Europa). Inhoudslijn: Ori?ntatie - Ruimte (Aardrijkskunde) - Buurlanden en omliggende regio. Leerdoel (5R1): De buurlanden van Nederland kennen en op de kaart plaatsen, inclusief hoofdsteden. Niveau: M (midden groep 5). Gebruik kaart van Noordwest-Europa met focus op Nederland en omgeving. Buurlanden: Belgi? (Brussel), Duitsland (Berlijn). Buurzee: Noordzee. Nabije landen: Frankrijk, Luxemburg, Denemarken, Verenigd Koninkrijk. Vraagtypen: Welke landen grenzen direct aan Nederland?, Waar ligt Belgi? - noord, zuid, oost of west van Nederland?, Wat is de hoofdstad van Duitsland?, Hoeveel buurlanden heeft Nederland?, Welke zee grenst aan Nederland?, Welk land ligt tussen Nederland en Frankrijk?. Format: 10 topografische vragen met Europakaart, 4 antwoordopties per vraag (CITO-stijl). Materiaal: atlas, wandkaart Europa. Zelfstandig werken. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
"5","5R2","Europa op de kaart","M","Landen van Europa herkennen op de kaart","Genereer 10 oefeningen voor Groep 5 (midden schooljaar). Kerndoel: O9 en O10 (Kerndoelen 47-48: Kaartvaardigheden en kenmerkende aspecten van Europa). Inhoudslijn: Ori?ntatie - Ruimte (Aardrijkskunde) - Europa topografie basis. Leerdoel (5R2): Belangrijke Europese landen herkennen en plaatsen op de kaart, met Nederlands perspectief. Niveau: M (midden groep 5). Gebruik overzichtskaart van Europa. Focus op grote en nabije landen: Duitsland, Frankrijk, Belgi?, Verenigd Koninkrijk, Spanje, Itali?, Polen, Zweden, Noorwegen. Vraagtypen: Waar ligt Frankrijk op de kaart van Europa?, Welk groot land ligt ten oosten van Nederland?, Herken je Itali? aan de vorm (laars)?, Welk land ligt op het Scandinavische schiereiland?, In welk land ligt Parijs?, Welke landen liggen aan de Middellandse Zee?. Format: 10 topografische vragen, 4 antwoordopties per vraag (CITO-stijl). Perspectief: vanuit Nederland naar Europa kijken. Materiaal: schoolatlas Europa. Zelfstandig werken. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
"5","5R3","Schaal op kaarten","M","Schaal op kaarten begrijpen en gebruiken","Genereer 10 oefeningen voor Groep 5 (midden schooljaar). Kerndoel: O9 (Kerndoel 47: Kaartvaardigheden - schaal en afstand op kaarten). Inhoudslijn: Ori?ntatie - Ruimte (Aardrijkskunde) - Kaartschaal en afstandsmeting. Leerdoel (5R3): Het begrip schaal begrijpen en eenvoudige afstandsberekeningen maken met schaalstok. Niveau: M (midden groep 5). Gebruik kaarten met duidelijke schaalstok (schaal 1:100.000 of 1:1.000.000). Introduceer: schaal betekent hoe veel keer kleiner de kaart is dan werkelijkheid, 1 cm op kaart = X km in werkelijkheid. Gebruik Nederlandse steden voor afstandsvragen. Vraagtypen: Wat betekent schaal 1:100.000?, Als 1 cm = 10 km, hoeveel km is dan 3 cm op de kaart?, Hoe ver is het van Amsterdam naar Utrecht volgens deze kaart?, Welke schaal is groter - 1:1000 of 1:10.000?, Gebruik de schaalstok: hoeveel kilometer is deze lijn?. Format: 10 vragen met kaarten en schaalstok, 4 antwoordopties per vraag (CITO-stijl). Materiaal: liniaal, kaarten met schaal. Begin eenvoudig, bouw op naar complexer. Zelfstandig werken met hulp. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
"5","5R4","Landschapsvormen","E","Bergen, valleien, rivieren, meren herkennen","Genereer 10 oefeningen voor Groep 5 (eind schooljaar). Kerndoel: O9 en O10 (Kerndoelen 47-48: Kaartvaardigheden en kenmerkende aspecten van aardrijkskunde). Inhoudslijn: Ori?ntatie - Ruimte (Aardrijkskunde) - Fysische aardrijkskunde en landvormen. Leerdoel (5R4): Belangrijke landschapsvormen herkennen, benoemen en op kaarten vinden: bergen, valleien, rivieren, meren, kusten. Niveau: E (eind groep 5). Gebruik foto's, satellietbeelden en reli?fkaarten van Europa. Context: van Nederlandse rivieren (Rijn, Maas, IJssel) naar Europese bergen (Alpen, Pyrenee?n) en rivieren (Donau, Seine, Rijn). Vraagtypen: Wat is een vallei?, Herken je bergen op deze kaart (bruine/groene kleuren)?, Welke grote rivier stroomt door Nederland?, Waar liggen de Alpen - Zuid-Europa of Noord-Europa?, Wat is het verschil tussen een meer en een zee?, Welke rivier mondt uit in de Noordzee?. Format: 10 vragen met foto's en kaarten, 4 antwoordopties per vraag (CITO-stijl). Materiaal: fysische kaart Europa, atlas. Zelfstandig werken. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
"5","5R5","Klimaatzones","E","Verschillende klimaten: tropisch, gematigd, polair","Genereer 10 oefeningen voor Groep 5 (eind schooljaar). Kerndoel: O10 (Kerndoel 48: Kenmerkende aspecten - klimaatzones wereldwijd). Inhoudslijn: Ori?ntatie - Ruimte (Aardrijkskunde) - Klimaatzones en weer. Leerdoel (5R5): De drie hoofdklimaatzones herkennen: tropisch (warm en nat), gematigd (vier seizoenen), polair (koud). Niveau: E (eind groep 5). Gebruik wereldkaart met klimaatzones in kleuren. Context: Nederland heeft gematigd zeeklimaat. Evenaar = tropisch, polen = polair. Vraagtypen: Welk klimaat heeft Nederland?, Waar vind je tropisch klimaat - bij de evenaar of bij de polen?, Wat is kenmerkend voor polair klimaat?, In welke klimaatzone is het altijd warm?, Welke klimaatzone heeft vier seizoenen?, Waarom is het op de Noordpool altijd koud?. Format: 10 vragen met klimaatkaart en foto's, 4 antwoordopties per vraag (CITO-stijl). Perspectief: vanuit Nederlands gematigd klimaat naar wereldwijde verschillen. Materiaal: wereldkaart met klimaatzones, atlas. Zelfstandig werken. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
"6","6R1","Europa: landen en hoofdsteden","M","Belangrijke Europese landen en hoofdsteden","Genereer 10 oefeningen voor Groep 6 (midden schooljaar). Kerndoel: O9 en O10 (Kerndoelen 47-48: Kaartvaardigheden en kenmerkende aspecten van Europa). Inhoudslijn: Ori?ntatie - Ruimte (Aardrijkskunde) - Europa topografie gevorderd. Leerdoel (6R1): Uitgebreide kennis van Europese landen en hoofdsteden, inclusief ligging en relaties. Niveau: M (midden groep 6). Gebruik gedetailleerde Europakaart. Focus op 20-25 landen met hoofdsteden: West-Europa (Nederland, Belgi?, Duitsland, Frankrijk, VK, Ierland, Luxemburg), Zuid-Europa (Spanje, Portugal, Itali?, Griekenland), Oost-Europa (Polen, Tsjechi?, Hongarije, Roemeni?), Noord-Europa (Zweden, Noorwegen, Finland, Denemarken). Vraagtypen: Wat is de hoofdstad van Frankrijk?, Waar ligt Berlijn op de kaart?, In welk land ligt Rome?, Welk land heeft Athene als hoofdstad?, Welke hoofdsteden liggen aan de kust?, Welke landen grenzen aan Duitsland?. Format: 10 topografische vragen, 4 antwoordopties per vraag (CITO-stijl). Materiaal: grote Europakaart, schoolatlas, lege kaart voor oefenen. Zelfstandig werken. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
"6","6R2","Werelddelen","M","Zeven werelddelen kennen en plaatsen","Genereer 10 oefeningen voor Groep 6 (midden schooljaar). Kerndoel: O9 en O10 (Kerndoelen 47-48: Kaartvaardigheden en kenmerkende aspecten wereldwijd). Inhoudslijn: Ori?ntatie - Ruimte (Aardrijkskunde) - Werelddelen en oceanen. Leerdoel (6R2): Alle zeven werelddelen herkennen, plaatsen en basiskenmerken benoemen, met Nederlands perspectief. Niveau: M (midden groep 6). Gebruik wereldkaart met continenten. De 7 werelddelen: Europa (waar Nederland ligt), Azi? (grootste), Afrika, Noord-Amerika, Zuid-Amerika, Australi?/Oceani?, Antarctica. Ook 5 oceanen: Stille Oceaan, Atlantische Oceaan, Indische Oceaan, Noordelijke IJszee, Zuidelijke Oceaan. Vraagtypen: Waar ligt Afrika op de wereldkaart?, Hoeveel werelddelen zijn er?, Welk werelddeel is het grootste?, Op welk werelddeel ligt Nederland?, Welke oceaan ligt tussen Europa en Amerika?, Welk werelddeel ligt op de Zuidpool?. Format: 10 vragen met wereldkaart, 4 antwoordopties per vraag (CITO-stijl). Perspectief: vanuit Nederland de wereld verkennen. Materiaal: grote wereldkaart, globe. Zelfstandig werken. Algemene instructies: veranker in SLO kerndoelen/inhoudslijn; CITO-stijl meerkeuze (4 opties: 1 correct, 3 plausibele afleiders); mix M/E-niveau binnen groep; noteer per item: vraag, antwoordopties, juiste antwoord, korte feedback/strategie.","10","4","","","M/E mix","","kort"
