Groep,Code,Beschrijving,Level,Toelichting,Prompt_Template
4,4VB3,Staafdiagrammen lezen,E,"Gegevens uit staafdiagrammen aflezen","Genereer 10 oefeningen voor Groep 4 (eind schooljaar). Kerndoel: K28 (Inzicht in getalsysteem en verbanden). Inhoudslijn: Verbanden - Grafieken - Staafdiagrammen. Leerdoel (4VB3): Gegevens uit staafdiagrammen aflezen. Niveau: E (eind groep 4). Context: aantal bezoekers speeltuin per maand, verkochte ijsjes per smaak, aantal fietsen/auto's/bussen geteld, klassenuitslag toets. Vraagtypen: Hoeveel bezoekers waren er in mei?, Welke maand had de hoogste staaf?, Wat is het verschil tussen april en juni?, Hoeveel totaal in maart en april samen?, Rangschik van laag naar hoog. Format: Staafdiagrammen met schaalverdeling (per 2, 5 of 10), duidelijke assen en labels, 4 antwoordopties per vraag. CITO-stijl. Zelfstandig werken."
4,4VB4,Gemiddelde introduceren,E,"Kennismaken met het begrip gemiddelde","Genereer 10 oefeningen voor Groep 4 (eind schooljaar). Kerndoel: K28 en K29 (Inzicht in verbanden en hoofdrekenen). Inhoudslijn: Verbanden - Statistiek - Gemiddelde. Leerdoel (4VB4): Kennismaken met het begrip gemiddelde. Niveau: E (eind groep 4). Gebruik concrete voorbeelden met eerlijk verdelen. Context: snoepjes eerlijk verdelen, gemiddelde lengte in cm, gemiddelde temperatuur, punten bij spelletje. Vraagtypen: Anna heeft 8 knikkers en Bas heeft 4. Verdeel eerlijk, hoeveel krijgt ieder?, Wat is het gemiddelde van 10 en 20?, Bereken gemiddelde van 5-7-9, Drie kinderen scoren 6, 9 en 12 punten, wat is gemiddeld?, Als je 12 appels eerlijk verdeelt over 3 manden, hoeveel per mand? Format: Eenvoudige gemiddeldeberekeningen met 2-4 getallen, concrete situaties, 4 antwoordopties. Zelfstandig werken."
5,5VB1,Rekenregels ontdekken,M,"Patronen en regels in bewerkingen ontdekken","Genereer 10 oefeningen voor Groep 5 (midden schooljaar). Kerndoel: K28 en K29 (Inzicht in verbanden en hoofdrekenen). Inhoudslijn: Verbanden - Patronen - Rekenregels. Leerdoel (5VB1): Patronen en regels in bewerkingen ontdekken. Niveau: M (midden groep 5). Context: getallenreeksen met dubbele bewerkingen, groeimachines, tovergetallen. Vraagtypen: Ontdek de rekenregel (×2 dan +3): 5→13, 7→17, 10→?, Wat is de volgende in: 3→9→27→81→?, Vul aan volgens patroon: halveert steeds, Begin 80→40→20→?→?, Welke regel wordt gebruikt: 12→15, 20→23, 35→38? (+3), Machine: invoer×4 dan -5, wat komt eruit bij invoer 8? Format: Rekenregels en patronen met 4 antwoordopties, schema's en pijltjesdiagrammen. Strategisch denken stimuleren."
5,5VB2,Formules invullen,M,"Eenvoudige formules invullen (afstand = snelheid × tijd)","Genereer 10 oefeningen voor Groep 5 (midden schooljaar). Kerndoel: K29 en K30 (Hoofdrekenen en cijferend rekenen). Inhoudslijn: Verbanden - Formules - Formules toepassen. Leerdoel (5VB2): Eenvoudige formules invullen (afstand = snelheid × tijd). Niveau: M (midden groep 5). Context: fietsen naar oma (afstand/snelheid/tijd), tuin opmeten (oppervlakte rechthoek), zwembad vullen, kosten uitrekenen. Vraagtypen: Bereken afstand: snelheid 15 km/u gedurende 3 uur (A=S×T), Oppervlakte tuin: lengte 8 meter, breedte 5 meter (O=L×B), Prijs berekenen: 4 pizza's van €7 elk (Totaal=aantal×prijs), Hoeveel km bij 25 km/u in 2 uur?, Rechthoek 12×6 meter, wat is oppervlakte? Format: Formules met concrete getallen, 4 antwoordopties, stappenplan beschikbaar. Zelfstandig werken."
5,5VB3,Grafieken lezen,M,"Lijn- en staafdiagrammen lezen en interpreteren","Genereer 10 oefeningen voor Groep 5 (midden schooljaar). Kerndoel: K28 (Inzicht in verbanden). Inhoudslijn: Verbanden - Grafieken - Lijn- en staafdiagrammen interpreteren. Leerdoel (5VB3): Lijn- en staafdiagrammen lezen en interpreteren. Niveau: M (midden groep 5). Context: temperatuurverloop per week, aantal leden sportclub per jaar, verkoopcijfers ijssalon per maand, groei van plantje bijhouden. Vraagtypen: Wat was de temperatuur op woensdag?, Wanneer was het hoogste punt in de grafiek?, Stijgt of daalt de lijn tussen dag 3 en 5?, Hoeveel verkocht in juni en juli samen?, Welke maand had 50 bezoekers meer dan maart? Format: Lijn- en staafdiagrammen met duidelijke schaalverdeling, assen met labels, 4 antwoordopties. CITO-stijl. Zelfstandig werken."
5,5VB4,Gemiddelde berekenen,E,"Gemiddelde van reeksen getallen berekenen","Genereer 10 oefeningen voor Groep 5 (eind schooljaar). Kerndoel: K28 en K29 (Inzicht in verbanden en hoofdrekenen). Inhoudslijn: Verbanden - Statistiek - Gemiddelde berekenen. Leerdoel (5VB4): Gemiddelde van reeksen getallen berekenen. Niveau: E (eind groep 5). Context: gemiddeld rapportcijfer, gemiddelde temperatuur over week, gemiddelde punten bij toetsen, gemiddeld aantal doelpunten. Vraagtypen: Bereken gemiddelde van 12-15-18-21 (Som:66, delen door 4 = 16,5), Wat is gemiddeld cijfer bij 7-8-6-7?, Temperaturen: 12°-15°-18°-15° graden, wat is gemiddelde?, Lisa scoort 24, 18, 30 en 20 punten, wat gemiddeld?, Bereken gemiddelde van 5 getallen: 10-12-15-18-20. Format: Gemiddeldeberekeningen met 3-5 getallen, stappenplan (optellen dan delen), 4 antwoordopties. Zelfstandig werken met correctiemodel."
5,5VB5,Kans: zeker/onzeker,E,"Begrippen zeker, onzeker, onmogelijk bij kans","Genereer 10 oefeningen voor Groep 5 (eind schooljaar). Kerndoel: K28 (Inzicht in verbanden). Inhoudslijn: Verbanden - Kans - Kansbegrippen. Leerdoel (5VB5): Begrippen zeker, onzeker, onmogelijk bij kans. Niveau: E (eind groep 5). Context: dobbelstenen gooien, kaarten trekken, weer voorspellen, loterij, spelletjes. Vraagtypen: Is het zeker/onzeker/onmogelijk dat je een 7 gooit met één dobbelsteen?, Welke uitspraak klopt: morgen regent het (zeker/onzeker/onmogelijk)?, Je trekt een kaart uit een pak met alleen rode kaarten, trek je rood? (zeker), Kanswoorden toepassen: hoe groot is de kans dat de zon vannacht schijnt?, Bij een dobbelsteen: kans op getal lager dan 7? Format: Kanssituaties beoordelen met kanswoorden, 4 antwoordopties, realistische contexten. Zelfstandig werken."
6,6VB1,Formules toepassen,M,"Formules gebruiken bij woordproblemen","Genereer 10 oefeningen voor Groep 6 (midden schooljaar). Kerndoel: K29 en K30 (Hoofdrekenen en cijferend rekenen). Inhoudslijn: Verbanden - Formules - Formules in woordproblemen. Leerdoel (6VB1): Formules gebruiken bij woordproblemen. Niveau: M (midden groep 6). Context: schoolreisje organiseren (kosten berekenen), sportdag (tijd/afstand/snelheid), moestuinproject (oppervlakte), waterverbruik zwembad. Vraagtypen: Bereken met formule bij woordprobleem (welke formule kies je?), Een fietser rijdt 20 km/u gedurende 3,5 uur, hoever komt hij?, Rechthoekige zandbak 4m × 2,5m, wat is oppervlakte?, Welke formule gebruik je voor totaalprijs bij 12 kinderen van €8,50 per kind?, Pas formule toe: hoeveel liter water bij 50cm × 40cm × 30cm bak? Format: Woordproblemen met formules, meerdere stappen, 4 antwoordopties. Strategisch denken en formules kiezen. Zelfstandig werken."
6,6VB2,Grafieken maken,M,"Zelf grafieken maken van gegevens","Genereer 10 oefeningen voor Groep 6 (midden schooljaar). Kerndoel: K28 (Inzicht in verbanden). Inhoudslijn: Verbanden - Grafieken - Grafieken construeren. Leerdoel (6VB2): Zelf grafieken maken van gegevens. Niveau: M (midden groep 6). Context: temperaturen bijhouden en weergeven, verkoopcijfers schoolkantine, groei plantjes meten, scores sportdag. Vraagtypen: Maak staafdiagram van deze data (5 categorieën), Teken lijndiagram van temperaturen over week, Welke grafiek past het beste bij deze gegevens?, Zet de tabel om in een staafdiagram met juiste schaalverdeling, Maak lijndiagram: dag 1=12°, dag 2=15°, dag 3=13°, dag 4=18°, dag 5=16°. Format: Grafieken construeren uit data in tabel, assen tekenen, labels toevoegen, schaalverdeling kiezen. Stappenplan beschikbaar. Zelfstandig werken."
6,6VB3,Kansberekening basis,M,"Eenvoudige kansen berekenen (dobbelsteen, munten)","Genereer 10 oefeningen voor Groep 6 (midden schooljaar). Kerndoel: K28 en K29 (Inzicht in verbanden en hoofdrekenen). Inhoudslijn: Verbanden - Kans - Kansberekening met breuken. Leerdoel (6VB3): Eenvoudige kansen berekenen (dobbelsteen, munten). Niveau: M (midden groep 6). Context: dobbelsteen gooien, muntje opgooien, knikkers trekken uit zak, kaarten trekken, rad van fortuin. Vraagtypen: Kans op 6 met dobbelsteen (1/6), Kans op kop bij muntje (1/2), In zak zitten 3 rode en 5 blauwe knikkers, kans op rood? (3/8), Kans op even getal met dobbelsteen (3/6 = 1/2), Bij 10 kaarten waarvan 2 aas, kans op aas? (2/10 = 1/5). Format: Kansberekeningen met breuken notatie, 4 antwoordopties, schema's met gunstige/totale uitkomsten. Zelfstandig werken."
6,6VB4,Tabellen interpreteren,E,"Complexe tabellen lezen en interpreteren","Genereer 10 oefeningen voor Groep 6 (eind schooljaar). Kerndoel: K28 (Inzicht in verbanden). Inhoudslijn: Verbanden - Tabellen - Complexe tabellen. Leerdoel (6VB4): Complexe tabellen lezen en interpreteren. Niveau: E (eind groep 6). Context: NS-reistijdentabel, prijslijst pretpark (leeftijd × attractie), weerstatistieken per stad per maand, uitslagentabel voetbalcompetitie. Vraagtypen: Kruistabellen lezen (rij × kolom), Hoeveel punten heeft Utrecht na 8 wedstrijden?, Bereken uit tabel: totaal over 3 maanden, Vind patroon in tabel: welke stad heeft steeds hoogste temperatuur?, Vergelijk twee rijen: welk verschil zie je? Format: Meervoudige tabellen met 4-6 kolommen en rijen, berekeningen maken, 4 antwoordopties. CITO-stijl. Zelfstandig werken."
6,6VB5,Mediaanwaarde,E,"Mediaan bepalen van een reeks getallen","Genereer 10 oefeningen voor Groep 6 (eind schooljaar). Kerndoel: K28 en K29 (Inzicht in verbanden en hoofdrekenen). Inhoudslijn: Verbanden - Statistiek - Mediaan. Leerdoel (6VB5): Mediaan bepalen van een reeks getallen. Niveau: E (eind groep 6). Context: cijferlijsten, hoogtes klasgenoten, huiswerkminuten per dag, prijzen producten, temperaturen. Vraagtypen: Vind mediaan van 5 getallen (eerst ordenen): 12-8-15-10-13, Wat is middelste waarde bij 7 getallen?, Orden en bepaal mediaan: 45-32-67-54-41, Bij even aantal getallen (6): mediaan is gemiddelde van twee middelste, Cijfers: 7-6-8-5-9-7-6, wat is mediaan? Format: Mediaanberekeningen, stappenplan (ordenen dan middelste zoeken), 4 antwoordopties. Zelfstandig werken met correctiemodel."
7,7VB1,Formules opstellen,M,"Zelf eenvoudige formules opstellen","Genereer 10 oefeningen voor Groep 7 (midden schooljaar). Kerndoel: K29 en K30 (Hoofdrekenen en cijferend rekenen). Inhoudslijn: Verbanden - Formules - Formules opstellen. Leerdoel (7VB1): Zelf eenvoudige formules opstellen. Niveau: M (midden groep 7). Context: bedrijfje runnen (omzet berekenen), sportwedstrijden (punten/scores), bouwprojecten (materialen), energieverbruik. Vraagtypen: Maak formule voor totaalprijs bij aantal (a) kaartjes van €12,50 elk (T = a × 12,50), Stel formule op: omtrek rechthoek met lengte l en breedte b (O = 2×l + 2×b), Welke formule past bij: kosten zijn €5 starttarief + €2 per kilometer?, Schrijf formule: totaal punten = aantal doelpunten × 3 + aantal assists × 1, Maak formule voor inhoud balk (I = l × b × h). Format: Formules opstellen uit context, met letters en getallen, 4 antwoordopties. Analytisch denken. Zelfstandig werken."
7,7VB2,Grafieken vergelijken,M,"Meerdere grafieken met elkaar vergelijken","Genereer 10 oefeningen voor Groep 7 (midden schooljaar). Kerndoel: K28 (Inzicht in verbanden). Inhoudslijn: Verbanden - Grafieken - Meervoudige grafieken. Leerdoel (7VB2): Meerdere grafieken met elkaar vergelijken. Niveau: M (midden groep 7). Context: twee sportteams vergelijken (scores over seizoen), temperatuurverschillen tussen steden, groei van verschillende planten, verkoopcijfers concurrerende winkels. Vraagtypen: Welke lijn (team A of B) stijgt het snelst tussen week 2 en 5?, Vergelijk twee datasets: welke stad heeft grotere temperatuurschommelingen?, Wanneer kruisen de lijnen elkaar (gelijke waarde)?, In welke maand hadden beide winkels dezelfde omzet?, Welke grafiek toont de meeste groei over hele periode? Format: Meervoudige lijndiagrammen in één grafiek, 4 antwoordopties, interpretatievragen. CITO-stijl. Zelfstandig werken."
7,7VB3,Kans en verwachting,M,"Verwachte uitkomsten berekenen bij kansexperimenten","Genereer 10 oefeningen voor Groep 7 (midden schooljaar). Kerndoel: K28 en K29 (Inzicht in verbanden en hoofdrekenen). Inhoudslijn: Verbanden - Kans - Kansverwachting. Leerdoel (7VB3): Verwachte uitkomsten berekenen bij kansexperimenten. Niveau: M (midden groep 7). Context: dobbelsteen experimenten, muntgooien series, loterijen, spelletjes met kansen. Vraagtypen: Hoeveel keer verwacht je een 6 bij 60 worpen? (kans 1/6 × 60 = 10), Verwacht aantal keer kop bij 100 worpen muntje (1/2 × 100 = 50), Bij 240 worpen dobbelsteen, hoe vaak verwacht je een even getal?, In zak 2 rode en 4 blauwe knikkers, bij 30 trekkingen (teruglegging), hoeveel keer rood verwacht?, Kans op prijs is 1/20, bij 200 loten hoeveel prijzen verwacht? Format: Kansberekeningen met verwachting, formule: kans × aantal pogingen, 4 antwoordopties. Zelfstandig werken."
7,7VB4,Scatter plots,E,"Puntenwolken/scatter plots lezen","Genereer 10 oefeningen voor Groep 7 (eind schooljaar). Kerndoel: K28 (Inzicht in verbanden). Inhoudslijn: Verbanden - Grafieken - Scatter plots (puntenwolken). Leerdoel (7VB4): Puntenwolken/scatter plots lezen. Niveau: E (eind groep 7). Context: verband tussen studietijd en cijfer, lengte vs schoenm aat, leeftijd vs reactietijd, temperatuur vs ijsverkoop. Vraagtypen: Is er een verband zichtbaar tussen de variabelen (positief/negatief/geen)?, Zie je een stijgende of dalende trend?, Lees punt af: wat is de waarde bij x=5?, Welke conclusie kun je trekken uit deze puntenwolk?, Zijn er uitschieters (outliers) zichtbaar? Format: Scatter plots interpreteren met punten in coördinatenstelsel, 4 antwoordopties, analytische vragen. CITO-stijl. Zelfstandig werken."
7,7VB5,Cirkeldiagrammen,E,"Cirkeldiagrammen (taartdiagrammen) lezen en maken","Genereer 10 oefeningen voor Groep 7 (eind schooljaar). Kerndoel: K28 en K29 (Inzicht in verbanden en hoofdrekenen). Inhoudslijn: Verbanden - Grafieken - Cirkeldiagrammen. Leerdoel (7VB5): Cirkeldiagrammen (taartdiagrammen) lezen en maken. Niveau: E (eind groep 7). Context: budgetverdeling schoolproject, tijdsbesteding per dag, marktaandelen, stemverdeling verkiezingen, voedingsgroepen. Vraagtypen: Welk deel (categorie) is het grootste in cirkeldiagram?, Hoeveel procent van budget gaat naar materialen (30% van taartpunt)?, Maak cirkeldiagram: 40% A, 35% B, 25% C, Bereken: bij 200 leerlingen en 25% kiest voetbal, hoeveel is dat?, Als een deel 90° beslaat, welk percentage is dat (90/360 = 25%)? Format: Cirkeldiagrammen met percentages en graden, construeren en interpreteren, 4 antwoordopties. Zelfstandig werken met gradenboog."
8,8VB1,Complexe formules,M,"Complexe formules met meerdere variabelen","Genereer 10 oefeningen voor Groep 8 (midden schooljaar). Kerndoel: K29 en K30 (Hoofdrekenen en cijferend rekenen). Inhoudslijn: Verbanden - Formules - Complexe formules. Leerdoel (8VB1): Complexe formules met meerdere variabelen. Niveau: M (midden groep 8). Context: bouwprojecten (volume/oppervlakte), financiële berekeningen (rente, korting), wetenschappelijke metingen, energieberekeningen. Vraagtypen: Los op met formule V=l×b×h (l=12cm, b=8cm, h=5cm), Bereken met meerdere stappen: Totaal = (a+b)×c bij a=15, b=25, c=4, Formule: K = P×(1+r) waarbij P=€1000 en r=0,05, bereken K, Oppervlakte cilinder: O=2πr²+2πrh met r=3 en h=10, Samengestelde formule: S = (v₁+v₂)/2 × t, vul in en bereken. Format: Complexe formules met meerdere variabelen, stapsgewijs oplossen, 4 antwoordopties. Voorbereiding VO. Zelfstandig werken."
8,8VB2,Grafieken interpreteren,M,"Trends en patronen in grafieken interpreteren","Genereer 10 oefeningen voor Groep 8 (midden schooljaar). Kerndoel: K28 (Inzicht in verbanden). Inhoudslijn: Verbanden - Grafieken - Trends en patronen. Leerdoel (8VB2): Trends en patronen in grafieken interpreteren. Niveau: M (midden groep 8). Context: bevolkingsgroei Nederland, energieverbruik over jaren, aandelenkoersen, klimaatdata, sportprestaties over tijd. Vraagtypen: Beschrijf de trend in deze grafiek (stijgend/dalend/constant/wisselend), Voorspel de volgende waarde op basis van het patroon, Interpreteer: wat gebeurde er tussen jaar 2015 en 2020?, Wanneer is het omslagpunt (van stijgen naar dalen)?, Tussen welke jaren was de groei het grootst?, Extrapoleer: wat verwacht je in 2025? Format: Complexe grafiekinterpretatie, trendanalyse, voorspellingen, 4 antwoordopties. CITO-stijl eindtoets niveau. Zelfstandig werken."
8,8VB3,Kansberekening gevorderd,M,"Kansen bij samengestelde gebeurtenissen","Genereer 10 oefeningen voor Groep 8 (midden schooljaar). Kerndoel: K28 en K29 (Inzicht in verbanden en hoofdrekenen). Inhoudslijn: Verbanden - Kans - Samengestelde kansen. Leerdoel (8VB3): Kansen bij samengestelde gebeurtenissen. Niveau: M (midden groep 8). Context: twee dobbelstenen gooien, kaarten trekken in serie, combinaties, kansspelen. Vraagtypen: Kans op twee keer zes met twee dobbelstenen (1/6 × 1/6 = 1/36), Kans op kop bij muntje EN oneven getal bij dobbelsteen (1/2 × 3/6 = 1/4), Kans op twee rode knikkers achter elkaar zonder teruglegging (3/10 × 2/9), Twee worpen: kans op minstens één 6?, Kansberekening met EN-regel en OF-regel, Kansboom tekenen en uitrekenen. Format: Samengestelde kansberekeningen, kansdiagrammen/kansbomen, 4 antwoordopties. Zelfstandig werken."
8,8VB4,Statistiek: modus,E,"Modus (meest voorkomende waarde) bepalen","Genereer 10 oefeningen voor Groep 8 (eind schooljaar). Kerndoel: K28 en K29 (Inzicht in verbanden en hoofdrekenen). Referentieniveau: 1F/1S. Inhoudslijn: Verbanden - Statistiek - Modus. Leerdoel (8VB4): Modus (meest voorkomende waarde) bepalen. Niveau: E (eind groep 8). Context: enquêteresultaten, cijferlijsten, productverkoop, stemresultaten, meetgegevens. Vraagtypen: Wat is de modus van deze dataset: 5-7-3-7-9-7-4-8?, Welke waarde komt het meest voor in: rood-blauw-groen-rood-geel-rood?, Dataset: 12-15-18-12-20-15-12, bepaal modus, Modus vs gemiddelde vs mediaan: welke maat is meest geschikt?, Bij deze frequentietabel, wat is de modus?, Kan een dataset twee modi hebben (bimodaal)? Format: Modus bepalen uit datasets en tabellen, vergelijken met gemiddelde en mediaan, 4 antwoordopties. CITO-stijl eindtoets niveau 1F/1S. Zelfstandig werken met correctiemodel."
