Groep,Code,Beschrijving,Level,Toelichting,Prompt_Template
3,3S5,Verhaaltje schrijven,E,"Kort verhaaltje van 3-5 zinnen schrijven","Genereer 10 oefeningen voor Groep 3 (eind schooljaar). Kerndoel: K2 (Schrijven), K9 (Creatief schrijven). Inhoudslijn: Schrijven - Tekstopbouw - Verhaal. Leerdoel (3S5): Kort verhaaltje van 3-5 zinnen schrijven met begin, midden en eind. Niveau: E (eind groep 3). Teksttype: eenvoudig narratief verhaal. Focus op chronologische volgorde. Context: gebruik herkenbare onderwerpen (huisdier, vakantie, verjaardag, school). Vraagtypen: schrijf een verhaaltje over [onderwerp], maak het verhaal af (vervolg op beginzinnen), beschrijf wat je op de plaatjes ziet (3-4 plaatjes in volgorde), vertel wat er gebeurt, bedenk een titel voor je verhaal. Format: creatieve schrijfopdrachten met visuele ondersteuning (plaatjesreeks), zinsstarters beschikbaar. Ondersteuning: woordbank, voorbeeldverhaal, stappenplan (begin-midden-eind)."
4,4S1,Spelling verdubbeling,M,"Verdubbeling van medeklinkers (bellen, rennen)","Genereer 10 oefeningen voor Groep 4 (midden schooljaar). Kerndoel: K7 (Spelling - Regelmatig). Inhoudslijn: Schrijven - Spelling - Verdubbelingsregel. Leerdoel (4S1): Verdubbelingsregel van medeklinkers toepassen bij korte klinkers (bellen, rennen, happen, vullen). Niveau: M (midden groep 4). Spellingcategorie: regelmatig. Regel: korte klank + enkele medeklinker wordt dubbel bij verlenging. Vraagtypen: bel of bellen (4 opties), ren of rennen, vul dubbele letter in (hap_en, vul_en), welke schrijfwijze is correct, pas de regel toe bij nieuwe woorden, verbeter de fout. Format: verdubbelingsregel-oefeningen met CITO-stijl 4 antwoordopties. Gebruik variatie tussen werkwoorden en zelfstandige naamwoorden. Zelfstandig werken."
4,4S2,Spelling verlenging,M,"Verlengingsregel toepassen (huis-huizen, lief-lieve)","Genereer 10 oefeningen voor Groep 4 (midden schooljaar). Kerndoel: K7 (Spelling - Regelmatig). Inhoudslijn: Schrijven - Spelling - Verlengingsregel. Leerdoel (4S2): Verlengingsregel toepassen om s/z en f/v te onderscheiden (huis-huizen, lief-lieve, graag-graag). Niveau: M (midden groep 4). Spellingcategorie: regelmatig. Strategie: verlengen om stemhebbende/stemloze medeklinker te horen. Vraagtypen: huis of huijs (4 opties), lief of liev, pas verlengingsregel toe (muis-mui_en), vul s/z of f/v in met uitleg, kies het juiste woord, corrigeer met verlengingsregel. Format: verlengingsregel-oefeningen met voorbeelden van meervoudsvormen. CITO-stijl 4 antwoordopties. Zelfstandig werken met verlengingsstrategie."
4,4S3,Werkwoordspelling,M,"Werkwoorden vervoegen en correct spellen","Genereer 10 oefeningen voor Groep 4 (midden schooljaar). Kerndoel: K7 (Spelling - Werkwoordspelling). Inhoudslijn: Schrijven - Spelling - Werkwoorden vervoegen. Leerdoel (4S3): Regelmatige werkwoorden correct vervoegen en spellen in tegenwoordige tijd (ik loop, jij loopt, hij loopt, wij lopen). Niveau: M (midden groep 4). Spellingcategorie: werkwoordspelling. Focus op persoonsvorm herkennen en toepassen. Vraagtypen: ik loop, jij ... (loopt), hij ... (loopt), vervoeg het werkwoord in alle personen, vul de juiste vorm in de zin, kies de correcte vervoeging (4 opties), verbeter de werkwoordfout. Format: werkwoordvervoegingsoefeningen met rijtjes en zinnen. CITO-stijl 4 antwoordopties. Gebruik regelmatige werkwoorden (lopen, maken, spelen, werken)."
4,4S4,Zinnen met komma's,E,"Komma's gebruiken bij opsommingen","Genereer 10 oefeningen voor Groep 4 (eind schooljaar). Kerndoel: K2 (Schrijven), K8 (Schrijven - Functioneel). Inhoudslijn: Schrijven - Zinsbouw - Interpunctie komma. Leerdoel (4S4): Komma's correct gebruiken bij opsommingen van woorden (appels, peren, bananen en druiven). Niveau: E (eind groep 4). Focus op komma's in opsommingen, 'en' voor laatste item. Vraagtypen: zet komma's in de zin met opsomming, maak een opsomming met komma's, welke zin is correct (4 opties), waar hoort een komma, verbeter de kommafouten. Format: komma-oefeningen bij opsommingen met herkenbare contexten (boodschappen, hobby's, schoolspullen). CITO-stijl 4 antwoordopties. Zelfstandig werken."
4,4S5,Verschillende tekstsoorten,E,"Brief, verslag, verhaal schrijven","Genereer 10 oefeningen voor Groep 4 (eind schooljaar). Kerndoel: K2 (Schrijven), K8 (Schrijven - Functioneel), K9 (Creatief schrijven). Inhoudslijn: Schrijven - Tekstsoorten - Brief/Verslag/Verhaal. Leerdoel (4S5): Verschillende tekstsoorten schrijven: brief (persoonlijk), verslag (schooluitje), verhaal (creatief). Niveau: E (eind groep 4). Teksttypen: brief (aanhef, slot), verslag (wat/waar/wanneer), verhaal (begin/midden/eind). Context: herkenbare situaties voor kinderen. Vraagtypen: schrijf een brief aan [oma/vriend] over [onderwerp], maak een verslag van [schoolreis/experiment], schrijf verhaal over [avontuur/vakantie], welk teksttype past bij dit doel (4 opties), vul de juiste aanhef/afsluiting in voor een brief. Format: tekstsoort-oefeningen met sjablonen en voorbeelden. Mix van korte en langere schrijfopdrachten."
4,4S6,Leestekens,E,"Punt, komma, vraagteken, uitroepteken correct gebruiken","Genereer 10 oefeningen voor Groep 4 (eind schooljaar). Kerndoel: K2 (Schrijven), K8 (Schrijven - Functioneel). Inhoudslijn: Schrijven - Zinsbouw - Interpunctie (punt, komma, vraagteken, uitroepteken). Leerdoel (4S6): Alle basis leestekens correct gebruiken: punt (.), komma (,), vraagteken (?), uitroepteken (!). Niveau: E (eind groep 4). Focus op functie per leesteken. Vraagtypen: welk leesteken past aan het einde van deze zin (4 opties: ./,/?/!), zet het juiste teken, kies tussen . ? of !, verbeter de interpunctie in de tekst, waarom gebruik je hier een vraagteken. Format: interpunctie-oefeningen met alle leestekens in gevarieerde zinnen. CITO-stijl 4 antwoordopties. Zelfstandig werken."
5,5S1,Spelling samenstellingen,M,"Samenstellingen correct schrijven (schoorsteen, pannenkoek)","Genereer 10 oefeningen voor Groep 5 (midden schooljaar). Kerndoel: K7 (Spelling - Regelmatig). Inhoudslijn: Schrijven - Spelling - Samenstellingen. Leerdoel (5S1): Samenstellingen correct schrijven met behoud van alle letters (schoorsteen, pannenkoek, slaapkamer). Niveau: M (midden groep 5). Spellingcategorie: regelmatig. Regel: samenstelling = woord 1 + woord 2, alle letters blijven behouden. Vraagtypen: schoorsteen of schorsteen (4 opties), pannenkoek of panekoek, splits de samenstelling (schoorsteen = schoor + steen), schrijf de juiste samenstelling, vul ontbrekende letters in samenstelling, verbeter de fout. Format: samenstellingen-oefeningen met CITO-stijl 4 antwoordopties. Gebruik herkenbare Nederlandse samengestelde woorden. Zelfstandig werken."
5,5S2,Spelling lidwoorden,M,"De/het correct gebruiken","Genereer 10 oefeningen voor Groep 5 (midden schooljaar). Kerndoel: K7 (Spelling - Onregelmatig). Inhoudslijn: Schrijven - Spelling - Lidwoorden. Leerdoel (5S2): Lidwoorden de/het correct gebruiken en onthouden per zelfstandig naamwoord. Niveau: M (midden groep 5). Spellingcategorie: onregelmatig (moet worden onthouden, geen regel). Strategie: meervoud maken helpt soms (het huis-de huizen). Vraagtypen: de of het [zelfstandig naamwoord] (4 opties), vul juiste lidwoord in, welke is goed (de/het tafel, de/het boek), maak meervoud om te controleren, verbeter de fout. Format: lidwoord-oefeningen de/het met CITO-stijl 4 antwoordopties. Mix van de-woorden en het-woorden. Zelfstandig werken."
5,5S3,Tekstopbouw alinea's,M,"Teksten in alinea's indelen","Genereer 10 oefeningen voor Groep 5 (midden schooljaar). Kerndoel: K2 (Schrijven), K8 (Schrijven - Functioneel). Inhoudslijn: Schrijven - Tekstopbouw - Alinea-indeling. Leerdoel (5S3): Teksten logisch in alinea's indelen, elk alinea heeft één hoofdgedachte. Niveau: M (midden groep 5). Focus op tekststructuur en samenhang. Vraagtypen: waar begint een nieuwe alinea, verdeel deze tekst in 3 alinea's, welke zinnen horen bij elkaar in één alinea (4 opties), waarom start hier een nieuwe alinea, verbeter de alinea-indeling. Format: alinea-indelingsoefeningen met informatieve en narratieve teksten. CITO-stijl 4 antwoordopties waar van toepassing. Zelfstandig werken."
5,5S4,Spelling d/t-regel,E,"D/t-regel toepassen bij werkwoorden","Genereer 10 oefeningen voor Groep 5 (eind schooljaar). Kerndoel: K7 (Spelling - Werkwoordspelling). Inhoudslijn: Schrijven - Spelling - D/t-regel. Leerdoel (5S4): D/t-regel toepassen bij werkwoorden in verleden tijd met 't kofschip-regel. Niveau: E (eind groep 5). Spellingcategorie: werkwoordspelling. Regel: 't kofschip-werkwoorden krijgen -t, andere -d in verleden tijd (hij loopte, hij maakte). Vraagtypen: hij loop[t/d] (4 opties), zij werk[t/d]e, vul d of t in met uitleg, pas 't kofschip-regel toe, welke is correct, verbeter de werkwoordspelling. Format: d/t-regel oefeningen met 't kofschip-ezelsbruggetje. CITO-stijl 4 antwoordopties. Gebruik variatie van werkwoorden. Zelfstandig werken."
5,5S5,Creatief schrijven,E,"Creatief verhaal met spanning en afloop schrijven","Genereer 10 oefeningen voor Groep 5 (eind schooljaar). Kerndoel: K2 (Schrijven), K9 (Creatief schrijven). Inhoudslijn: Schrijven - Tekstopbouw - Verhalende tekst. Leerdoel (5S5): Creatief verhaal schrijven met duidelijke opbouw (inleiding-conflict-spanning-oplossing-afloop). Niveau: E (eind groep 5). Teksttype: verhaal (narratief). Focus op spanningsboog en afloop. Context: gebruik verbeeldingsvolle onderwerpen (avontuur, mysterie, vriendschap). Vraagtypen: schrijf verhaal met begin/midden/eind en spanning, maak het spannend (gebruik spannende woorden), bedenk een verrassende afloop, beschrijf het hoofdpersonage, gebruik dialoog in je verhaal, bedenk een pakkende titel. Format: creatieve verhaalopdrachten met verhaalstructuur-schema. Ondersteuning: verhaalplanner, spanningswoorden, dialoogvoorbeelden. Lengte: 10-15 zinnen."
5,5S6,Functioneel schrijven,E,"Verslag, instructie, brief schrijven","Genereer 10 oefeningen voor Groep 5 (eind schooljaar). Kerndoel: K2 (Schrijven), K8 (Schrijven - Functioneel). Inhoudslijn: Schrijven - Tekstsoorten - Verslag/Instructie/Brief. Leerdoel (5S6): Functionele tekstsoorten schrijven: verslag (schoolreis), instructie (handleiding), formele brief. Niveau: E (eind groep 5). Teksttypen: verslag (wat/waar/wanneer/wie/hoe), instructie (stap-voor-stap), brief (formele aanhef/slot). Focus op tekstkenmerken per type. Vraagtypen: schrijf verslag van schooluitje (chronologisch), maak instructie voor [recept/spel/knutselwerk] met duidelijke stappen, schrijf formele brief aan [directeur/wethouder], welk teksttype past bij deze communicatiedoel (4 opties), vul de juiste afsluiting in voor een formele brief. Format: functionele tekstsoorten met sjablonen en tekststructuren. Mix van korte en langere schrijfopdrachten."
6,6S1,Spelling ei/ij en au/ou,M,"Ei/ij en au/ou correct spellen","Genereer 10 oefeningen voor Groep 6 (midden schooljaar). Kerndoel: K7 (Spelling - Regelmatig). Inhoudslijn: Schrijven - Spelling - Ei/ij en au/ou onderscheid. Leerdoel (6S1): Ei/ij en au/ou correct spellen en onderscheiden in woorden. Niveau: M (midden groep 6). Spellingcategorie: regelmatig met gehoorstrategieën. Strategie: ij klinkt anders dan ei (rijm: ij = lange klank, ei = tweeklank), au/ou: meestal ou (uitzonderingen: rauw, blauw, flauw). Vraagtypen: ei of ij (4 opties: trein/blijven/zijn), au of ou (4 opties: koud/rauw/blauw), vul juiste letters in (bl__ven, k__d), welke schrijfwijze is correct, verbeter de spelling, sorteer woorden naar ei/ij. Format: ei/ij en au/ou spellingoefeningen met CITO-stijl 4 antwoordopties. Zelfstandig werken."
6,6S2,Trappen van vergelijking,M,"Vergrotende en overtreffende trap correct spellen","Genereer 10 oefeningen voor Groep 6 (midden schooljaar). Kerndoel: K7 (Spelling - Regelmatig). Inhoudslijn: Schrijven - Spelling - Trappen van vergelijking. Leerdoel (6S2): Vergrotende trap (-er) en overtreffende trap (-st) correct spellen met aandacht voor spellingregels. Niveau: M (midden groep 6). Spellingcategorie: regelmatig. Regels: groot-groter-grootst, mooi-mooier-mooist, let op verdubbeling (dik-dikker-dikst) en klankverandering. Vraagtypen: vul vergrotende trap in (groot-....-....), mooi-mooier-mooist (compleet maken), welke is correct (4 opties), dik-dikker of diker, pas spellingregel toe, verbeter de fout. Format: trappen van vergelijking oefeningen met CITO-stijl 4 antwoordopties. Mix van regelmatige en bijzondere vormen. Zelfstandig werken."
6,6S3,Spelling moeilijke woorden,M,"Woordgebonden spelling (bibliotheek, chocola)","Genereer 10 oefeningen voor Groep 6 (midden schooljaar). Kerndoel: K7 (Spelling - Onregelmatig). Inhoudslijn: Schrijven - Spelling - Woordgebonden woorden. Leerdoel (6S3): Moeilijke woordgebonden woorden correct spellen die onthouden moeten worden (bibliotheek, chocola, machine, paraplu). Niveau: M (midden groep 6). Spellingcategorie: onregelmatig/woordgebonden (geen regel, moet onthouden worden). Vraagtypen: bibliotheek of bibiotheek (4 opties), chocola of chocolade, machine of masjiene, vul ontbrekende letters in (bib_i_theek), dictee van 10 moeilijke woordgebonden woorden, corrigeer de fout, onthoud de juiste spelling. Format: woordgebonden spellingoefeningen met CITO-stijl 4 antwoordopties. Focus op veelvoorkomende valkuilen. Zelfstandig werken met woordenlijst."
6,6S4,Zinsbouw gevarieerd,E,"Gevarieerde zinnen schrijven (kort, lang, vraagzin)","Genereer 10 oefeningen voor Groep 6 (eind schooljaar). Kerndoel: K2 (Schrijven), K8 (Schrijven - Functioneel). Inhoudslijn: Schrijven - Zinsbouw - Variatie in zinnen. Leerdoel (6S4): Gevarieerde zinnen schrijven (korte/lange zinnen, vraagzinnen, uitroepzinnen) voor levendige teksten. Niveau: E (eind groep 6). Focus op variatie in zinslengte en -type voor leesbaarheid. Vraagtypen: maak een korte en een lange zin over hetzelfde onderwerp, schrijf een vraagzin, varieer de zinsbouw (begin niet steeds met onderwerp), herschrijf deze zin op een andere manier, welke tekst heeft de beste zinsvariatie (4 opties), verbeter de eentonige zinsbouw. Format: zinsbouwvariatie-oefeningen met tekstfragmenten. CITO-stijl 4 antwoordopties. Zelfstandig werken."
6,6S5,Alinea's met kopjes,E,"Tekst structureren met kopjes en tussenkopjes","Genereer 10 oefeningen voor Groep 6 (eind schooljaar). Kerndoel: K2 (Schrijven), K8 (Schrijven - Functioneel). Inhoudslijn: Schrijven - Tekstopbouw - Kopjes en tussenkopjes. Leerdoel (6S5): Tekst logisch structureren met duidelijke kopjes en tussenkopjes die de inhoud dekken. Niveau: E (eind groep 6). Focus op informatieve tekststructuur. Vraagtypen: bedenk een passend kopje voor deze alinea, welk kopje past het beste (4 opties), structureer deze tekst met 3 kopjes, vul het tussenkopje in, verbeter het kopje (te vaag/onduidelijk), schrijf een informatieve tekst met kopjes over [onderwerp]. Format: tekststructuur-oefeningen met kopjes voor informatieve teksten (werkstukken, verslagen). CITO-stijl 4 antwoordopties. Zelfstandig werken."
6,6S6,Dialoog schrijven,E,"Dialogen schrijven met aanhalingstekens","Genereer 10 oefeningen voor Groep 6 (eind schooljaar). Kerndoel: K2 (Schrijven), K9 (Creatief schrijven). Inhoudslijn: Schrijven - Tekstsoorten - Dialoog. Leerdoel (6S6): Dialogen correct schrijven met aanhalingstekens en bijbehorende interpunctie. Niveau: E (eind groep 6). Focus op directe rede en aanhalingstekens. Vraagtypen: schrijf een dialoog tussen twee personen over [onderwerp], zet de aanhalingstekens op de juiste plek, hij zei: ""..."" (correct toepassen), welke dialoog is correct geschreven (4 opties), verbeter de aanhalingstekens in deze dialoog, schrijf deze indirecte rede om naar directe rede. Format: dialoogoefeningen met correcte interpunctie en aanhalingstekens. CITO-stijl 4 antwoordopties. Zelfstandig werken."
7,7S1,Spelling voor-voor,M,"Voor (voorzichtig) en voor (voor de deur) onderscheiden","Genereer 10 oefeningen voor Groep 7 (midden schooljaar). Kerndoel: K7 (Spelling - Onregelmatig). Inhoudslijn: Schrijven - Spelling - Voor/voor onderscheid. Leerdoel (7S1): Voor als voorvoegsel (voorzichtig, voorkomen) en voor als voorzetsel (voor de deur) correct onderscheiden en spellen. Niveau: M (midden groep 7). Spellingcategorie: onregelmatig. Regel: voorvoegsel = aan het woord vast (voorzichtig), voorzetsel = los geschreven (voor de deur). Vraagtypen: voor of voor (4 opties: voorzichtig/voor de deur), welke betekenis heeft voor hier, vul voor/voor correct in, is dit een voorvoegsel of voorzetsel, verbeter de fout, leg het verschil uit. Format: voor-voor onderscheidingsoefeningen met CITO-stijl 4 antwoordopties. Context in zinnen. Zelfstandig werken."
7,7S2,Spelling lidwoord/voornaamwoord,M,"Hun/hen, die/dat correct gebruiken","Genereer 10 oefeningen voor Groep 7 (midden schooljaar). Kerndoel: K7 (Spelling - Onregelmatig). Inhoudslijn: Schrijven - Spelling - Hun/hen en die/dat. Leerdoel (7S2): Hun/hen en die/dat correct gebruiken op basis van grammaticale functie. Niveau: M (midden groep 7). Spellingcategorie: onregelmatig (grammaticaregel). Regels: hen = lijdend voorwerp/na voorzetsel, hun = meewerkend voorwerp/bezit; die = de-woorden, dat = het-woorden. Vraagtypen: hun of hen (4 opties), die of dat (4 opties), vul juiste woord in met uitleg, is dit lijdend of meewerkend voorwerp, verbeter de fout, leg de keuze uit. Format: hun/hen en die/dat oefeningen met CITO-stijl 4 antwoordopties. Mix van beide vraagtypen. Zelfstandig werken met grammaticale strategie."
7,7S3,Spelling samenstellingen gevorderd,M,"Complexe samenstellingen met s/n (stadspoort, zonnestraal)","Genereer 10 oefeningen voor Groep 7 (midden schooljaar). Kerndoel: K7 (Spelling - Regelmatig). Inhoudslijn: Schrijven - Spelling - Samenstellingen met tussenletters. Leerdoel (7S3): Complexe samenstellingen correct schrijven met tussenletter s of n (stadspoort, zonnestraal, hanenrei). Niveau: M (midden groep 7). Spellingcategorie: regelmatig. Regels: s na medeklinker (stadpoort), n na klinker (zonnestraal), soms beide mogelijk. Vraagtypen: stadspoort of stadpoort (4 opties), zonnestraal of zonstraal, vul s of n in met uitleg, verbind twee woorden tot samenstelling, welke tussenletter hoort hier, verbeter de fout. Format: samenstellingen met tussenletters met CITO-stijl 4 antwoordopties. Focus op veelvoorkomende patronen. Zelfstandig werken."
7,7S4,Tekstsoorten beheersen,E,"Alle tekstsoorten beheersen: betoog, beschrijving, instructie","Genereer 10 oefeningen voor Groep 7 (eind schooljaar). Kerndoel: K2 (Schrijven), K8 (Schrijven - Functioneel). Inhoudslijn: Schrijven - Tekstsoorten - Betoog/Beschrijving/Instructie. Leerdoel (7S4): Alle belangrijke tekstsoorten beheersen en doelgericht inzetten: betoog (argumentatief), beschrijving (descriptief), instructie (procedureel). Niveau: E (eind groep 7). Teksttypen: betoog (stelling-argumenten-conclusie), beschrijving (gedetailleerd en zintuiglijk), instructie (chronologische stappen). Focus op tekstkenmerken en doel. Vraagtypen: schrijf een betoog over [actueel onderwerp] met 3 argumenten, beschrijf [object/situatie/persoon] gedetailleerd, maak een duidelijke instructie voor [proces/recept], welk teksttype past bij dit doel (4 opties), herken de tekstsoort, verbeter de tekststructuur. Format: gevarieerde tekstsoorten met CITO-stijl 4 antwoordopties. Mix van schrijf- en analyse-opdrachten. Zelfstandig werken."
